Accession,Gene names,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
,,,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor
A0A2R8YCH5,CTNNB1,6,0.88,17.11,0.84,12.54,0.91,21.39,0.75,6.15,0.88,16.56,0.89,18.48
P04264,KRT1,6,0.91,19.67,0.83,11.49,0.84,15,0.73,6.97,0.87,16.14,0.88,17.96
P12830,CDH1,6,0.93,22.61,0.92,21.4,0.97,28.95,0.88,13.35,0.95,23.39,0.95,25.71
Q02413,DSG1,6,0.99,28.85,0.98,27.47,0.97,28.87,0.95,25.66,0.98,28.45,0.98,29.3
F5GZS6,SLC3A2,6,0.91,19.77,0.77,6.93,0.85,10.8,0.82,10.73,0.82,11.34,0.76,3.79
O60232,ZNRD2,6,1,30.42,1,30.46,0.88,18.24,1,31.02,0.78,9.5,1,31.34
P25311,AZGP1,6,0.87,15.07,0.8,8.49,0.76,8.12,0.69,5.08,0.88,17.29,0.85,14.65
Q96S66,CLCC1,6,0.95,23.79,1,28.96,0.82,13.02,1,31.02,0.84,13.54,0.88,16.98
Q01650,SLC7A5,6,0.92,21.63,0.76,6.89,0.86,14.7,0.99,26.55,0.81,10.78,0.76,7.97
P22223,CDH3,6,1,30.42,1,25.81,0.96,25.93,1,31.02,0.95,22.03,0.96,23.93
P53985,SLC16A1,6,0.97,26.8,0.97,26.7,0.9,19.48,1,30.38,0.96,24.07,0.92,21
P09758,TACSTD2,6,0.93,21.81,0.88,14.44,0.82,13.94,1,23.4,0.93,23.12,0.9,20.34
Q09666,AHNAK,6,1,20.52,1,23.63,0.81,14.38,1,22.73,1,28,1,20.79
H7C463,IMMT,6,1,28.12,0.93,22.47,0.75,4.99,0.97,26.92,0.87,16.54,0.88,17.26
Q6P2Q9,PRPF8,6,0.97,25.73,0.94,23.41,0.93,23.69,0.99,27.26,0.89,16.65,0.91,20.46
P30101,PDIA3,5,0.81,11.35,0.66,1.97,0.75,7.73,0.78,5.92,0.75,6.83,0.77,9.55
H0Y4R1,IMPDH,5,0.86,2.84,0.83,13.04,0.72,6.77,1,22.51,0.73,6.84,0.83,11.73
C9JRZ6,CHCHD3,5,1,30.42,1,30.46,0.73,10.23,0,0,1,20.03,0.87,15.33
I3L192,BSG,5,0.76,8.4,0.63,4.27,1,18.01,1,12.8,0.63,4.01,0.65,1.47
P16422,EPCAM,5,0.91,13.29,0.82,1.95,0.87,13.35,1,26.4,0.87,15.2,0.87,15.88
Q14157,UBAP2L,4,0.67,3.15,0.59,0.07,0.55,-0.51,0.77,6.62,0.63,3.17,0.7,5.69
Q99569,PKP4,4,0.91,17.87,0.69,3.36,0.91,13.43,0.44,-0.84,0.67,2.65,0.74,7.12
Q13509,TUBB3,4,0.76,4.88,0.65,3.84,0.69,3.12,1,15.49,0.63,0.89,0.58,-0.09
Q9Y230,RUVBL2,4,0.76,7.51,0.74,4.12,0.56,-0.47,0.88,3.28,0.7,4.6,0.66,2.92
Q96P63,SERPINB12,4,0.96,25.79,0.89,14.29,0.65,0.01,0.63,-0.1,0.91,19.98,0.88,17.55
P02545,LMNA,4,0.94,23.43,0.88,17.79,0.5,-0.84,0.45,-0.84,0.79,9.49,0.69,3.07
P49327,FASN,4,0.71,5.43,0.65,0.36,0.69,3.39,0,0,0.68,3.34,0.68,3.74
P05023,ATP1A1,4,0.95,20.34,0.78,1.29,0.83,12.59,0,0,0.87,15.6,0.83,13.75
Q01469,FABP5,4,0.9,19.42,0.78,8.81,0.4,-0.12,0.4,-0.83,0.79,9.94,0.72,5.96
Q5SZX6,CCT3,4,1,22.05,0,0,1,31.76,0,0,0.95,17.66,1,28.14
Q96AE4,FUBP1,4,0,0,1,22.08,0.74,9.54,0,0,1,30.47,1,31.55
F5H282,TCP1,4,0,0,1,22.08,1,32.8,1,31.02,1,30.47,0,0
P06744,GPI,4,0,0,0.87,9.7,1,17.49,0,0,0.78,8.91,0.8,7.24
P19474,TRIM21,3,0.98,28.51,0.99,28.44,0.44,-0.79,1,30.07,0.39,-0.02,0.46,-0.79
P17302,CXNK2,3,1,16.84,1,14.4,0.3,2.55,1,6.36,0.3,2.42,0.27,4.04
Q5T9A4,ATAD3B,3,1,30.42,1,30.46,0.74,0.52,1,31.02,0.6,-0.07,0.52,-0.79
Q5T5P2,KIAA1217,3,0.56,-0.26,0.35,0.99,0.83,11.73,0.13,3.39,0.69,3,0.77,7.09
P78406,RAE1,3,0.66,0.9,0.77,4.83,0.54,-0.69,0.94,15.64,0.95,4.74,0.78,1.43
Q6ZXV5,TMTC3,3,0.66,-0.07,0.53,-0.4,0.94,24.23,0.4,1.64,0.92,19.34,0.94,23.47
P16401,H1-5,3,0.4,1.37,0.33,1.5,0.8,13.63,0.42,-0.53,0.82,12.17,0.63,4.34
P49768,PSEN1,3,1,30.42,0,0,1,23.84,1,22.51,0.64,2.77,0.7,1.9
E7EMC7,SQSTM1,3,1,25.48,0.91,19.41,0.65,1.91,1,31.02,0.67,2.29,0.66,2.58
P62280,RPS11,3,0.58,-0.08,0.58,-0.85,0.98,29.26,0.61,1.51,0.97,25.59,0.84,16.04
J3QQQ9,J3QQQ9,3,1,6.27,0,0,0.69,5.64,0.74,-0.1,0.8,6.97,0,0
P23490,LORICRIN,3,0.91,18.71,0.32,-0.11,0.54,-0.07,0.42,-0.62,0.66,3.17,0.65,4.72
P04844,RPN2,3,0,0,1,13.81,0.78,10.56,1,31.02,0.46,-0.1,0.52,1.39
Q9HAU0,PLEKHA5,3,0,0,0,0,1,18.69,0,0,0.8,11.45,0.73,5.25
P00390,GSR,3,0,0,0,0,1,23.84,0,0,1,22.09,1,31.55
A0A669KB05,CTNND1,2,0.83,10.87,0.55,-0.55,0.89,16.49,0.24,3.38,0.51,-0.8,0.56,-0.44
P35658,NUP214,2,0.81,10.47,0.74,4.51,0.42,-0.53,0.67,2.27,0.6,0.25,0.64,0.95
F8W8I6,TIA1,2,0.83,14.48,0.46,-0.83,0.51,-0.83,0.98,28.15,0.65,0.98,0.58,-0.14
P04083,ANXA1,2,0.72,4.13,0.45,-0.5,0.66,1.34,0.33,3.15,0.7,2.37,0.7,3.8
P21796,VDAC1,2,0.81,10.77,0.63,1.23,0.63,0.24,0.63,1.18,0.71,4.86,0.65,1.55
P26599,PTBP1,2,0.78,10.34,0.56,-0.35,0.43,-0.64,0.73,3.3,0.53,-0.14,0.36,0.4
P05109,S100A8,2,0.75,7.33,0.64,1.12,0.44,-0.6,0.25,4.83,0.71,1.99,0.69,3.12
P35221,CTNNA1,2,0.51,-0.69,0.49,-0.46,0.3,2.95,0,0,0.71,5.05,0.74,3.64
P29692,EEF1D,2,0.81,1.88,0,0,0.44,0.13,0.53,-0.73,1,11.06,0.75,4.67
Q12906,ILF3,2,0.63,-0.35,0.89,17.47,0.57,-0.44,0.28,5.36,0.6,0.84,0.67,3.58
D6RG13,RPS3A,2,0.59,-0.57,0.34,-0.81,0.65,3.61,0.76,1.08,0.74,4.87,0.28,5.53
E9PB61,ALYREF,2,1,19.61,0.57,-0.67,0.71,3.52,0,0,0.52,-0.78,0,0
P78527,PRKDC,2,0.77,8.76,0.24,2.6,0.47,-0.85,0.81,8.77,0.46,-0.74,0.38,0.73
P36542,ATP5F1C,2,0.48,-0.58,0.49,-0.28,0.63,3.62,0.76,8.8,0.44,0.45,0.55,-0.47
A0A087WTT1,PABPC1,2,1,4.79,0.74,0.75,0.53,0.77,0.78,5.19,0.67,1.11,0.66,2.28
Q9UMS4,PRPF19,2,1,30.42,1,30.46,0.38,0.06,0,0,0.65,0.32,0.61,-0.43
