"Accession","Description","Sample.a.buffer2","Sample.b.buffer2","Sample.c.buffer2","Sample.d.buffer2","Control.a.buffer2","Control.b.buffer2","Control.c.buffer2","Control.d.buffer2","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",143967258.404297,204696939.394531,105674397.980469,85605372.9472656,3522995302.67578,4053959719.71289,3212852266.06055,3782571464.87695,0.039260629473646,0.0480660818140324,0.0318437694430901,0.0221306771991885,0.035552199458368,124820828.192383,3652783383.77636,23.9359321219569
"2","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",968870613.54834,1318386609.58313,758930234.804565,668508368.228027,127136737.441406,147736112.855835,101410447.245605,79875398.0458984,0.884000105175759,0.899233460750087,0.882127569506598,0.893269467290045,0.888634786232902,863900424.176452,114273592.343506,18.4792139777262
"3","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",28298366.0605469,21546182.6699219,25743934.9477539,13848775.3266602,978339466.150391,682133641.831543,767963181.688477,647864661.710938,0.0281117648821061,0.0306192986067018,0.0324350562167792,0.0209286596757946,0.029365531744404,23645058.8088379,725048411.76001,24.7974217773014
"4","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",12257301795.5029,12319040155.4025,11135592489.4089,12640996931.3304,1840883858.19537,1450806810.90314,1689404285.53748,1309185719.44128,0.869424058994963,0.894638857319677,0.868272537203461,0.906152790094912,0.88203145815732,12288170975.4527,1570105548.22031,17.9596311999367
"5","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",43066461.6611328,29134773.7822266,28430949.7084961,126320835.939453,648978829.553711,420495395.93811,564940742.522827,383411032.717773,0.0622306982040615,0.0647971949932719,0.0479142333224289,0.247818203464925,0.0635139465986667,36100617.7216797,492718069.230469,16.3497209654257
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",73853089.9101563,97980868.2324219,53203341.4787598,33675580.7363281,58443755.3369141,75275798.7558594,40272948.6132813,30377587.859375,0.558237724960352,0.565524374534165,0.569164024656662,0.525744182132266,0.561881049747258,63528215.6944581,49358351.9750977,-0.438542312729318
"7","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",26794973.7070313,20206367.3066406,51828379.5527344,27833994.3291016,3424665313.85156,3866279177.77734,3209883365.0957,3774676724.70117,0.00776337302898098,0.00519913610181817,0.0158899325293752,0.00731989897879891,0.00754163600388994,27314484.0180665,3599671019.27637,27.1017459441088
"8","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",15980822.8535156,16214052.9003906,19734713.2128906,15589616.6640625,53195701.9570313,37835303.4736328,58669498.8925781,38686381.0854492,0.231015115276203,0.299986049569005,0.251704757728368,0.287228559777195,0.269466658752781,16097437.8769531,45941041.5212402,4.2196154142212
"9","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",46728906.109375,30624057.5834961,40219738.3537598,27148219.359375,1216163801.43213,775040920.439941,1008121637.62549,889658643.256592,0.0370014854233682,0.0380109082793037,0.0383651158633234,0.0296117104554734,0.037506196851336,35421897.968628,948890140.441041,23.8868712405479
"10","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",26821772.2226563,25253303.9921875,53414764.4609375,28073955.2890625,126797871.013672,121439971.075195,194039913.905273,160491615.477539,0.174598584253927,0.172150386448101,0.215856757340787,0.148881660501064,0.173374485351014,27447863.7558594,143644743.245605,10.0163592721509
