"Accession","Description","Control.a.buffer29","Control.b.buffer29","Control.c.buffer29","Control.d.buffer29","Sample.a.buffer29","Sample.b.buffer29","Sample.c.buffer29","Sample.d.buffer29","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",79622486.0494385,74928978.6722412,67682424.2392578,70647106.7160645,462035914.677612,490611218.009766,414867954.204834,476767886.179443,0.853002397927247,0.867509013308258,0.859740190324813,0.870944150903901,0.863624601816535,469401900.428527,72788042.6941528,11.8931218968306
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",15343703.4335938,24285712.9990234,11676783.8144531,27377125.421875,477658181.886353,998393925.183594,817479083.895996,994627349.793518,0.968876988323004,0.976252863465453,0.985917263244248,0.973212323345155,0.974732593405304,906053216.844757,19814708.2163086,22.8225892485531
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",12986744.3359375,11054248.7421875,10226531.21875,12364892.4296875,2825956723.47266,3275035269.71484,2668642782.12109,2898907566.5498,0.995425500900882,0.996636047593926,0.996182519554864,0.995752753270636,0.99596763641275,2862432145.01123,11709570.5859375,25.0832405739482
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",9920644.85546875,8398907.62109375,6823966.94433594,14736719.9335938,67287004.2060547,96769449.2109375,85123896.2558594,102949530.339844,0.871506968855334,0.920138453484559,0.925784387947349,0.874779594902941,0.89745902419375,90946672.7333985,9159776.23828125,14.9383204911305
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",7686409150.26819,8511137950.72388,7533319679.57471,7937206135.5061,1449936297.27399,1876511229.18109,1646688690.01355,1722407765.86371,0.158699811166186,0.180648306145266,0.179377689400452,0.17831020819781,0.178843948799131,1684548227.93863,7811807642.88715,12.098616483207
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",7696029.80224609,2793512.40478516,8036682.59814453,9506797.8527832,9351086.25976563,8723576.43359375,9765974.578125,9074820.87207031,0.548543590936408,0.757446309220416,0.548568367150427,0.488376228489311,0.548555979043417,9212953.56591797,7866356.20019531,-0.481720265437577
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",7884021.3515625,11097797.2050781,14411563.5644531,470885411.168945,1182534307.92041,1033332725.71973,1016715021.28711,942837769.82666,0.993377100169161,0.989374307853432,0.986023477838536,0.666918235833604,0.987698892845984,1025023873.50342,12754680.3847656,15.8985227269229
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",45872890.6343994,70941481.852417,28656824.6464233,38823146.5893555,1753306213.46936,1498350383.29797,1313831961.39362,1283799861.14758,0.974503432965752,0.954793952974695,0.978653956037165,0.970646853742713,0.972575143354232,1406091172.3458,42348018.6118774,22.1160196889691
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",1815609.70117188,815883.37109375,2446198.13769531,1089388.52636719,2819072183.40332,3272252057.21094,2661064432.8125,2898626590.78906,0.99935636940058,0.99975072825071,0.999081588746345,0.999624311989816,0.999490340695198,2858849387.09619,1452499.11376953,25.4849315967102
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",170758.828125,395306.5,377291.751953125,504419.6875,2287415.9375,1758426.67382813,2472005.91894531,1812916.33203125,0.930534301094909,0.816455211442295,0.867584297770419,0.782327774975839,0.842019754606357,2050166.13476562,386299.125976562,10.8026891468659
