Accession,Gene
P04264,KRT1
A0A2R8YCH5,CTNNB1
Q02413,DSG1
P12830,CDH1
P42704,LRPPRC
P04406,GAPDH
P06732,CKM
A0A669KB05,CTNND1
P22626,HNRNPA2B1
P13645,KRT10
Q96P63,SERPINB12
P35908,KRT2
P60709,ACTB
P35527,KRT9
P15924,DSP
Q5T750,XP32
P05787,KRT8
P05783,KRT18
P07437,TUBB
Q15637,SF1
P14923,JUP
Q71U36,TUBA1A
P11142,HSPA8
P10809,HSPD1
P05141,SLC25A5
E9PDC3,ARVCF
P21796,VDAC1
P19474,TRIM21
P25311,AZGP1
P68104,EEF1A1
P11021,HSPA5
Q5T9A4,ATAD3B
Q99569,PKP4
P08727,KRT19
P08238,HSP90AB1
F5GZS6,SLC3A2
O60232,ZNRD2
P07355,ANXA2
P05109,S100A8
P04083,ANXA1
Q9GZT3,SLIRP
Q6P2Q9,PRPF8
P08729,KRT7
P02533,KRT14
P25705,ATP5F1A
Q5T5P2,KIAA1217
P56945,BCAR1
Q7Z794,KRT77
P62805,H4C1
J3QTR3,RPS27A
P02545,LMNA
H0YFD6,HADHA
F8W6I7,HNRNPA1
P02743,APCS
P18509,ADCYAP1
P17302,GJA1
Q14157,UBAP2L
K7EN91,COASY
Q99623,PHB2
Q96S66,CLCC1
P06576,ATP5F1B
Q16777,H2AC20
P55084,HADHB
O75629,CREG1
P13647,KRT5
A0A0G2JIW1,HSPA1B
P30101,PDIA3
P31942,HNRNPH3
P78406,RAE1
P04792,HSPB1
P38646,HSPA9
Q06830,PRDX1
P08670,VIM
P12236,SLC25A6
P31943,HNRNPH1
Q01469,FABP5
A0A087X0X3,HNRNPM
O43278,SPINT1
O75400,PRPF40A
P35232,PHB
P14618,PKM
O75533,SF3B1
P52597,HNRNPF
Q5QNW6,H2BC18
Q7Z6K1,THAP5
F8VVM2,SLC25A3
P68133,ACTA1
P68371,TUBB4B
E9PLX0,CAPN1
P69905,HBA1
Q6ZXV5,TMTC3
Q14126,DSG2
Q6ZVX7,NCCRP1
P04259,KRT6B
Q12906,ILF3
Q01085,TIAL1
P01037,CST1
H7C463,IMMT
F8W8I6,TIA1
P08779,KRT16
P61978,HNRNPK
B4DY08,HNRNPC
Q6KB66,KRT80
Q9Y230,RUVBL2
Q00839,HNRNPU
P62269,RPS18
A0A5F9ZHM4,LDHB
A0A0A0MR02,VDAC2
H3BQD0,CBLN1
P62249,RPS16
P04075,ALDOA
P02538,KRT6A
A0A087WXD1,SLC9A7
P04040,CAT
Q9NVI7,ATAD3A
P84243,H3-3A
P00558,PGK1
P31947,SFN
P00338,LDHA
P49411,TUFM
P23396,RPS3
P58107,EPPK1
Q9UHX1,PUF60
P05023,ATP1A1
Q9H0U4,RAB1B
A0A087WVQ6,CLTC
P14625,HSP90B1
P07900,HSP90AA1
P35221,CTNNA1
P49327,FASN
Q02878,RPL6
P13639,EEF2
P53985,SLC16A1
P06733,ENO1
P62937,PPIA
P62701,RPS4X
Q9NZT1,CALML5
P11279,LAMP1
P62277,RPS13
P09382,LGALS1
P62913,RPL11
P27482,CALML3
P20700,LMNB1
Q01650,SLC7A5
O43240,KLK10
P16403,H1-2
Q04695,KRT17
P56537,EIF6
P40926,MDH2
P22223,CDH3
P42167,TMPO
P06702,S100A9
A0A087WTT1,PABPC1
P62244,RPS15A
P35658,NUP214
P78527,PRKDC
P02768,ALB
P07737,PFN1
Q92945,KHSRP
P26373,RPL13
Q14677,CLINT1
H0Y8G5,HNRNPD
Q13148,TARDBP
E7EQB2,LTF
O43175,PHGDH
