colname,selectcol,new_colname,Condition,experiment
Proteins.Unique.Sequence.ID,,,,
Checked,,,,
Protein.FDR.Confidence.Combined,,,,
Master,,,,
Accession,Yes,Accession,,
Description,Yes,Description,,
Contaminant,,,,
Coverage.in.Percent,,,,
Number.of.Peptides,,Number.of.Peptides,,
Number.of.PSMs,,,,
Number.of.Unique.Peptides,,,,
Number.of.Razor.Peptides,,,,
Abundance.F1.Light.Sample,Yes,Control.a.buffer2,2,1
Abundance.F1.Heavy.Sample,Yes,Sample.a.buffer2,2,1
Abundance.F2.Light.Sample,Yes,Control.b.buffer2,2,1
Abundance.F2.Heavy.Sample,Yes,Sample.b.buffer2,2,1
Abundance.F3.Light.Sample,Yes,Control.c.buffer2,2,1
Abundance.F3.Heavy.Sample,Yes,Sample.c.buffer2,2,1
Abundance.F4.Light.Sample,Yes,Control.d.buffer2,2,1
Abundance.F4.Heavy.Sample,Yes,Sample.d.buffer2,2,1
Abundance.F5.Light.Sample,Yes,Control.a.buffer3,3,1
Abundance.F5.Heavy.Sample,Yes,Sample.a.buffer3,3,1
Abundance.F6.Light.Sample,Yes,Control.b.buffer3,3,1
Abundance.F6.Heavy.Sample,Yes,Sample.b.buffer3,3,1
Abundance.F7.Light.Sample,Yes,Control.c.buffer3,3,1
Abundance.F7.Heavy.Sample,Yes,Sample.c.buffer3,3,1
Abundance.F8.Light.Sample,Yes,Control.d.buffer3,3,1
Abundance.F8.Heavy.Sample,Yes,Sample.d.buffer3,3,1
Abundance.F9.Light.Sample,Yes,Control.a.buffer16,16,1
Abundance.F9.Heavy.Sample,Yes,Sample.a.buffer16,16,1
Abundance.F10.Light.Sample,Yes,Control.b.buffer16,16,1
Abundance.F10.Heavy.Sample,Yes,Sample.b.buffer16,16,1
Abundance.F11.Light.Sample,Yes,Control.c.buffer16,16,1
Abundance.F11.Heavy.Sample,Yes,Sample.c.buffer16,16,1
Abundance.F12.Light.Sample,Yes,Control.d.buffer16,16,1
Abundance.F12.Heavy.Sample,Yes,Sample.d.buffer16,16,1
Abundance.F13.Light.Sample,Yes,Control.a.buffer19,19,1
Abundance.F13.Heavy.Sample,Yes,Sample.a.buffer19,19,1
Abundance.F14.Light.Sample,Yes,Control.b.buffer19,19,1
Abundance.F14.Heavy.Sample,Yes,Sample.b.buffer19,19,1
Abundance.F15.Light.Sample,Yes,Control.c.buffer19,19,1
Abundance.F15.Heavy.Sample,Yes,Sample.c.buffer19,19,1
Abundance.F16.Light.Sample,Yes,Control.d.buffer19,19,1
Abundance.F16.Heavy.Sample,Yes,Sample.d.buffer19,19,1
Abundance.F17.Light.Sample,Yes,Control.a.buffer25,25,1
Abundance.F17.Heavy.Sample,Yes,Sample.a.buffer25,25,1
Abundance.F18.Light.Sample,Yes,Control.b.buffer25,25,1
Abundance.F18.Heavy.Sample,Yes,Sample.b.buffer25,25,1
Abundance.F19.Light.Sample,Yes,Control.c.buffer25,25,1
Abundance.F19.Heavy.Sample,Yes,Sample.c.buffer25,25,1
Abundance.F20.Light.Sample,Yes,Control.d.buffer25,25,1
Abundance.F20.Heavy.Sample,Yes,Sample.d.buffer25,25,1
Abundance.F21.Light.Sample,Yes,Control.a.buffer29,29,1
Abundance.F21.Heavy.Sample,Yes,Sample.a.buffer29,29,1
Abundance.F22.Light.Sample,Yes,Control.b.buffer29,29,1
Abundance.F22.Heavy.Sample,Yes,Sample.b.buffer29,29,1
Abundance.F23.Light.Sample,Yes,Control.c.buffer29,29,1
Abundance.F23.Heavy.Sample,Yes,Sample.c.buffer29,29,1
Abundance.F24.Light.Sample,Yes,Control.d.buffer29,29,1
Abundance.F24.Heavy.Sample,Yes,Sample.d.buffer29,29,1
Abundance.F25.Light.Sample,Yes,Sample.a.buffer2,2,2
Abundance.F25.Heavy.Sample,Yes,Control.a.buffer2,2,2
Abundance.F26.Light.Sample,Yes,Sample.b.buffer2,2,2
Abundance.F26.Heavy.Sample,Yes,Control.b.buffer2,2,2
Abundance.F27.Light.Sample,Yes,Sample.c.buffer2,2,2
Abundance.F27.Heavy.Sample,Yes,Control.c.buffer2,2,2
Abundance.F28.Light.Sample,Yes,Sample.d.buffer2,2,2
Abundance.F28.Heavy.Sample,Yes,Control.d.buffer2,2,2
Abundance.F29.Light.Sample,Yes,Sample.a.buffer3,3,2
Abundance.F29.Heavy.Sample,Yes,Control.a.buffer3,3,2
Abundance.F30.Light.Sample,Yes,Sample.b.buffer3,3,2
Abundance.F30.Heavy.Sample,Yes,Control.b.buffer3,3,2
Abundance.F31.Light.Sample,Yes,Sample.c.buffer3,3,2
Abundance.F31.Heavy.Sample,Yes,Control.c.buffer3,3,2
Abundance.F32.Light.Sample,Yes,Sample.d.buffer3,3,2
Abundance.F32.Heavy.Sample,Yes,Control.d.buffer3,3,2
Abundance.F33.Light.Sample,Yes,Sample.a.buffer16,16,2
Abundance.F33.Heavy.Sample,Yes,Control.a.buffer16,16,2
Abundance.F34.Light.Sample,Yes,Sample.b.buffer16,16,2
Abundance.F34.Heavy.Sample,Yes,Control.b.buffer16,16,2
Abundance.F35.Light.Sample,Yes,Sample.c.buffer16,16,2
Abundance.F35.Heavy.Sample,Yes,Control.c.buffer16,16,2
Abundance.F36.Light.Sample,Yes,Sample.d.buffer16,16,2
Abundance.F36.Heavy.Sample,Yes,Control.d.buffer16,16,2
Abundance.F37.Light.Sample,Yes,Sample.a.buffer19,19,2
Abundance.F37.Heavy.Sample,Yes,Control.a.buffer19,19,2
Abundance.F38.Light.Sample,Yes,Sample.b.buffer19,19,2
Abundance.F38.Heavy.Sample,Yes,Control.b.buffer19,19,2
Abundance.F39.Light.Sample,Yes,Sample.c.buffer19,19,2
Abundance.F39.Heavy.Sample,Yes,Control.c.buffer19,19,2
Abundance.F40.Light.Sample,Yes,Sample.d.buffer19,19,2
Abundance.F40.Heavy.Sample,Yes,Control.d.buffer19,19,2
Abundance.F41.Light.Sample,Yes,Sample.a.buffer25,25,2
Abundance.F41.Heavy.Sample,Yes,Control.a.buffer25,25,2
Abundance.F42.Light.Sample,Yes,Sample.b.buffer25,25,2
Abundance.F42.Heavy.Sample,Yes,Control.b.buffer25,25,2
Abundance.F43.Light.Sample,Yes,Sample.c.buffer25,25,2
Abundance.F43.Heavy.Sample,Yes,Control.c.buffer25,25,2
Abundance.F44.Light.Sample,Yes,Sample.d.buffer25,25,2
Abundance.F44.Heavy.Sample,Yes,Control.d.buffer25,25,2
Abundance.F45.Light.Sample,Yes,Sample.a.buffer29,29,2
Abundance.F45.Heavy.Sample,Yes,Control.a.buffer29,29,2
Abundance.F46.Light.Sample,Yes,Sample.b.buffer29,29,2
Abundance.F46.Heavy.Sample,Yes,Control.b.buffer29,29,2
Abundance.F47.Light.Sample,Yes,Sample.c.buffer29,29,2
Abundance.F47.Heavy.Sample,Yes,Control.c.buffer29,29,2
Abundance.F48.Light.Sample,Yes,Sample.d.buffer29,29,2
Abundance.F48.Heavy.Sample,Yes,Control.d.buffer29,29,2
