colname,selectcol,new_colname,Condition
Proteins.Unique.Sequence.ID,,,
Protein.FDR.Confidence.Combined,,,
Master,,,
Accession,Yes,Accession,
Description,Yes,Description,
Contaminant,,,
Coverage.in.Percent,,,
Number.of.Unique.Peptides,,,
MW.in.kDa,,,
Abundances.Grouped.buffer16.Control,,,
Abundances.Grouped.buffer16.Sample,,,
Abundances.Grouped.buffer19.Control,,,
Abundances.Grouped.buffer19.Sample,,,
Abundances.Grouped.buffer2.Control,,,
Abundances.Grouped.buffer2.Sample,,,
Abundances.Grouped.buffer25.Control,,,
Abundances.Grouped.buffer25.Sample,,,
Abundances.Grouped.buffer29.Control,,,
Abundances.Grouped.buffer29.Sample,,,
Abundances.Grouped.buffer3.Control,,,
Abundances.Grouped.buffer3.Sample,,,
Abundance.F9.Heavy.Control.a.buffer16,Yes,Sample.a.buffer16,16
Abundance.F10.Heavy.Control.b.buffer16,Yes,Sample.b.buffer16,16
Abundance.F11.Heavy.Control.c.buffer16,Yes,Sample.c.buffer16,16
Abundance.F12.Heavy.Control.d.buffer16,Yes,Sample.d.buffer16,16
Abundance.F9.Light.Sample.a.buffer16,Yes,Control.a.buffer16,16
Abundance.F10.Light.Sample.b.buffer16,Yes,Control.b.buffer16,16
Abundance.F11.Light.Sample.c.buffer16,Yes,Control.c.buffer16,16
Abundance.F12.Light.Sample.d.buffer16,Yes,Control.d.buffer16,16
Abundance.F13.Heavy.Control.a.buffer19,Yes,Control.a.buffer19,19
Abundance.F14.Heavy.Control.b.buffer19,Yes,Control.b.buffer19,19
Abundance.F15.Heavy.Control.c.buffer19,Yes,Control.c.buffer19,19
Abundance.F16.Heavy.Control.d.buffer19,Yes,Control.d.buffer19,19
Abundance.F13.Light.Sample.a.buffer19,Yes,Sample.a.buffer19,19
Abundance.F14.Light.Sample.b.buffer19,Yes,Sample.b.buffer19,19
Abundance.F15.Light.Sample.c.buffer19,Yes,Sample.c.buffer19,19
Abundance.F16.Light.Sample.d.buffer19,Yes,Sample.d.buffer19,19
Abundance.F1.Heavy.Control.a.buffer2,Yes,Sample.a.buffer2,2
Abundance.F2.Heavy.Control.b.buffer2,Yes,Sample.b.buffer2,2
Abundance.F3.Heavy.Control.c.buffer2,Yes,Sample.c.buffer2,2
Abundance.F4.Heavy.Control.d.buffer2,Yes,Sample.d.buffer2,2
Abundance.F1.Light.Sample.a.buffer2,Yes,Control.a.buffer2,2
Abundance.F2.Light.Sample.b.buffer2,Yes,Control.b.buffer2,2
Abundance.F3.Light.Sample.c.buffer2,Yes,Control.c.buffer2,2
Abundance.F4.Light.Sample.d.buffer2,Yes,Control.d.buffer2,2
Abundance.F17.Heavy.Control.a.buffer25,Yes,Sample.a.buffer25,25
Abundance.F18.Heavy.Control.b.buffer25,Yes,Sample.b.buffer25,25
Abundance.F19.Heavy.Control.c.buffer25,Yes,Sample.c.buffer25,25
Abundance.F20.Heavy.Control.d.buffer25,Yes,Sample.d.buffer25,25
Abundance.F17.Light.Sample.a.buffer25,Yes,Control.a.buffer25,25
Abundance.F18.Light.Sample.b.buffer25,Yes,Control.b.buffer25,25
Abundance.F19.Light.Sample.c.buffer25,Yes,Control.c.buffer25,25
Abundance.F20.Light.Sample.d.buffer25,Yes,Control.d.buffer25,25
Abundance.F21.Heavy.Control.a.buffer29,Yes,Sample.a.buffer29,29
Abundance.F22.Heavy.Control.b.buffer29,Yes,Sample.b.buffer29,29
Abundance.F23.Heavy.Control.c.buffer29,Yes,Sample.c.buffer29,29
Abundance.F24.Heavy.Control.d.buffer29,Yes,Sample.d.buffer29,29
Abundance.F21.Light.Sample.a.buffer29,Yes,Control.a.buffer29,29
Abundance.F22.Light.Sample.b.buffer29,Yes,Control.b.buffer29,29
Abundance.F23.Light.Sample.c.buffer29,Yes,Control.c.buffer29,29
Abundance.F24.Light.Sample.d.buffer29,Yes,Control.d.buffer29,29
Abundance.F5.Heavy.Control.a.buffer3,Yes,Sample.a.buffer3,3
Abundance.F6.Heavy.Control.b.buffer3,Yes,Sample.b.buffer3,3
Abundance.F7.Heavy.Control.c.buffer3,Yes,Sample.c.buffer3,3
Abundance.F8.Heavy.Control.d.buffer3,Yes,Sample.d.buffer3,3
Abundance.F5.Light.Sample.a.buffer3,Yes,Control.a.buffer3,3
Abundance.F6.Light.Sample.b.buffer3,Yes,Control.b.buffer3,3
Abundance.F7.Light.Sample.c.buffer3,Yes,Control.c.buffer3,3
Abundance.F8.Light.Sample.d.buffer3,Yes,Control.d.buffer3,3
Modifications,,,
