colname,selectcol,new_colname
Peptide.Groups.Peptide.Group.ID,,
Checked,,
Confidence,,
Annotated.Sequence,Yes,Annotated.Sequence
Modifications,,
Contaminant,Yes,Contaminant
Species.Map,,
Qvality.PEP,,
Qvality.q-value,,
Number.of.Protein.Groups,,
Number.of.Proteins,,
Number.of.PSMs,,
Master.Protein.Accessions,Yes,Master.Protein.Accessions
Positions.in.Master.Proteins,,
Modifications.in.Master.Proteins,,
Master.Protein.Descriptions,,
Number.of.Missed.Cleavages,,
Theo.MHplus.in.Da,,
Abundances.Grouped.F1.Light,,
Abundances.Grouped.F1.Heavy,,
Abundances.Grouped.F2.Light,,
Abundances.Grouped.F2.Heavy,,
Abundances.Grouped.F3.Light,,
Abundances.Grouped.F3.Heavy,,
Abundances.Grouped.F4.Light,,
Abundances.Grouped.F4.Heavy,,
Abundances.Grouped.F5.Light,,
Abundances.Grouped.F5.Heavy,,
Abundances.Grouped.F6.Light,,
Abundances.Grouped.F6.Heavy,,
Abundances.Grouped.F7.Light,,
Abundances.Grouped.F7.Heavy,,
Abundances.Grouped.F8.Light,,
Abundances.Grouped.F8.Heavy,,
Abundances.Grouped.F9.Light,,
Abundances.Grouped.F9.Heavy,,
Abundances.Grouped.F10.Light,,
Abundances.Grouped.F10.Heavy,,
Abundances.Grouped.F11.Light,,
Abundances.Grouped.F11.Heavy,,
Abundances.Grouped.F12.Light,,
Abundances.Grouped.F12.Heavy,,
Abundances.Grouped.F13.Light,,
Abundances.Grouped.F13.Heavy,,
Abundances.Grouped.F14.Light,,
Abundances.Grouped.F14.Heavy,,
Abundances.Grouped.F15.Light,,
Abundances.Grouped.F15.Heavy,,
Abundances.Grouped.F16.Light,,
Abundances.Grouped.F16.Heavy,,
Abundances.Grouped.F17.Light,,
Abundances.Grouped.F17.Heavy,,
Abundances.Grouped.F18.Light,,
Abundances.Grouped.F18.Heavy,,
Abundances.Grouped.F19.Light,,
Abundances.Grouped.F19.Heavy,,
Abundances.Grouped.F20.Light,,
Abundances.Grouped.F20.Heavy,,
Abundances.Grouped.F21.Light,,
Abundances.Grouped.F21.Heavy,,
Abundances.Grouped.F22.Light,,
Abundances.Grouped.F22.Heavy,,
Abundances.Grouped.F23.Light,,
Abundances.Grouped.F23.Heavy,,
Abundances.Grouped.F24.Light,,
Abundances.Grouped.F24.Heavy,,
Abundances.Grouped.F25.Light,,
Abundances.Grouped.F25.Heavy,,
Abundances.Grouped.F26.Light,,
Abundances.Grouped.F26.Heavy,,
Abundances.Grouped.F27.Light,,
Abundances.Grouped.F27.Heavy,,
Abundances.Grouped.F28.Light,,
Abundances.Grouped.F28.Heavy,,
Abundances.Grouped.F29.Light,,
Abundances.Grouped.F29.Heavy,,
Abundances.Grouped.F30.Light,,
Abundances.Grouped.F30.Heavy,,
Abundances.Grouped.F31.Light,,
Abundances.Grouped.F31.Heavy,,
Abundances.Grouped.F32.Light,,
Abundances.Grouped.F32.Heavy,,
