Col_Name,Experiment_Name,Condition,SWAP
Abundances.Normalized.F1.Light.Control.Hevay_HA,Mix_Proteomics_1,Control,NO
Abundances.Normalized.F2.Light.Control.Hevay_HA,Mix_Proteomics_2,Control,NO
Abundances.Normalized.F3.Light.Control.Hevay_HA,Mix_Proteomics_3,Control,NO
Abundances.Normalized.F4.Light.Control.Hevay_HA,Mix_Proteomics_4,Control,NO
Abundances.Normalized.F5.Light.Control.Hevay_HA,Mix_Proteomics_5,Control,NO
Abundances.Normalized.F6.Light.Control.Hevay_HA,Mix_Proteomics_6,Control,NO
Abundances.Normalized.F13.Light.Sample.Heavy_wt,Mix_Proteomics_1,Sample,YES
Abundances.Normalized.F14.Light.Sample.Heavy_wt,Mix_Proteomics_2,Sample,YES
Abundances.Normalized.F15.Light.Sample.Heavy_wt,Mix_Proteomics_3,Sample,YES
Abundances.Normalized.F16.Light.Sample.Heavy_wt,Mix_Proteomics_4,Sample,YES
Abundances.Normalized.F17.Light.Sample.Heavy_wt,Mix_Proteomics_5,Sample,YES
Abundances.Normalized.F18.Light.Sample.Heavy_wt,Mix_Proteomics_6,Sample,YES
Abundances.Normalized.F1.Heavy.Sample.Hevay_HA,Mix_Proteomics_1,Sample,NO
Abundances.Normalized.F2.Heavy.Sample.Hevay_HA,Mix_Proteomics_2,Sample,NO
Abundances.Normalized.F3.Heavy.Sample.Hevay_HA,Mix_Proteomics_3,Sample,NO
Abundances.Normalized.F4.Heavy.Sample.Hevay_HA,Mix_Proteomics_4,Sample,NO
Abundances.Normalized.F5.Heavy.Sample.Hevay_HA,Mix_Proteomics_5,Sample,NO
Abundances.Normalized.F6.Heavy.Sample.Hevay_HA,Mix_Proteomics_6,Sample,NO
Abundances.Normalized.F13.Heavy.Sample.Heavy_wt,Mix_Proteomics_1,Control,YES
Abundances.Normalized.F14.Heavy.Sample.Heavy_wt,Mix_Proteomics_2,Control,YES
Abundances.Normalized.F15.Heavy.Sample.Heavy_wt,Mix_Proteomics_3,Control,YES
Abundances.Normalized.F16.Heavy.Sample.Heavy_wt,Mix_Proteomics_4,Control,YES
Abundances.Normalized.F17.Heavy.Sample.Heavy_wt,Mix_Proteomics_5,Control,YES
Abundances.Normalized.F18.Heavy.Sample.Heavy_wt,Mix_Proteomics_6,Control,YES
