"Proteins Unique Sequence ID"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of Protein Unique Peptides"	"Number of Unique Peptides"	"Score Sequest HT Sequest HT"	"Number of Razor Peptides"	"Abundance Ratio Heavy Sample  Light Control"	"Abundance Ratio log2 Heavy Sample  Light Control"	"Abundance Ratio Adj P-Value Heavy Sample  Light Control"	"Abundance Ratio Variability in Percent Heavy Sample  Light Control"	"Abundance Ratios by Bio Rep Heavy Samplerep1  Light Controlrep1"	"Abundance Ratios by Bio Rep Heavy Samplerep2  Light Controlrep2"	"Abundance Ratios by Bio Rep Heavy Samplerep3  Light Controlrep3"	"Abundance Ratios by Bio Rep Heavy Samplerep4  Light Controlrep4"	"Abundance Ratios by Bio Rep Heavy Samplerep5  Light Controlrep5"	"Abundance Ratios by Bio Rep Heavy Samplerep6  Light Controlrep6"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep1  Light Controlrep1"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep2  Light Controlrep2"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep3  Light Controlrep3"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep4  Light Controlrep4"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep5  Light Controlrep5"	"Abundance Ratios log2 by Bio Rep Heavy Samplerep6  Light Controlrep6"	"Abundances Grouped Light Control"	"Abundances Grouped Heavy Sample"	"Abundances by Bio Rep Light Controlrep1"	"Abundances by Bio Rep Light Controlrep2"	"Abundances by Bio Rep Light Controlrep3"	"Abundances by Bio Rep Light Controlrep4"	"Abundances by Bio Rep Light Controlrep5"	"Abundances by Bio Rep Light Controlrep6"	"Abundances by Bio Rep Heavy Samplerep1"	"Abundances by Bio Rep Heavy Samplerep2"	"Abundances by Bio Rep Heavy Samplerep3"	"Abundances by Bio Rep Heavy Samplerep4"	"Abundances by Bio Rep Heavy Samplerep5"	"Abundances by Bio Rep Heavy Samplerep6"	"Abundances Scaled F1 Light Control rep1"	"Abundances Scaled F2 Light Control rep2"	"Abundances Scaled F3 Light Control rep3"	"Abundances Scaled F4 Light Control rep4"	"Abundances Scaled F5 Light Control rep5"	"Abundances Scaled F6 Light Control rep6"	"Abundances Scaled F1 Heavy Sample rep1"	"Abundances Scaled F2 Heavy Sample rep2"	"Abundances Scaled F3 Heavy Sample rep3"	"Abundances Scaled F4 Heavy Sample rep4"	"Abundances Scaled F5 Heavy Sample rep5"	"Abundances Scaled F6 Heavy Sample rep6"	"Abundances Normalized F1 Light Control rep1"	"Abundances Normalized F2 Light Control rep2"	"Abundances Normalized F3 Light Control rep3"	"Abundances Normalized F4 Light Control rep4"	"Abundances Normalized F5 Light Control rep5"	"Abundances Normalized F6 Light Control rep6"	"Abundances Normalized F1 Heavy Sample rep1"	"Abundances Normalized F2 Heavy Sample rep2"	"Abundances Normalized F3 Heavy Sample rep3"	"Abundances Normalized F4 Heavy Sample rep4"	"Abundances Normalized F5 Heavy Sample rep5"	"Abundances Normalized F6 Heavy Sample rep6"	"Abundance F1 Light Control rep1"	"Abundance F2 Light Control rep2"	"Abundance F3 Light Control rep3"	"Abundance F4 Light Control rep4"	"Abundance F5 Light Control rep5"	"Abundance F6 Light Control rep6"	"Abundance F1 Heavy Sample rep1"	"Abundance F2 Heavy Sample rep2"	"Abundance F3 Heavy Sample rep3"	"Abundance F4 Heavy Sample rep4"	"Abundance F5 Heavy Sample rep5"	"Abundance F6 Heavy Sample rep6"	"Found in Sample in S1 F1 Light Control rep1"	"Found in Sample in S2 F2 Light Control rep2"	"Found in Sample in S3 F3 Light Control rep3"	"Found in Sample in S4 F4 Light Control rep4"	"Found in Sample in S5 F5 Light Control rep5"	"Found in Sample in S6 F6 Light Control rep6"	"Found in Sample in S7 F1 Heavy Sample rep1"	"Found in Sample in S8 F2 Heavy Sample rep2"	"Found in Sample in S9 F3 Heavy Sample rep3"	"Found in Sample in S10 F4 Heavy Sample rep4"	"Found in Sample in S11 F5 Heavy Sample rep5"	"Found in Sample in S12 F6 Heavy Sample rep6"	"Number of Protein Groups"
"-7065009906831580898"	"High"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5"	"0.000"	"False"	"1489.422"	"69"	"63"	"30"	"41"	"7701.64"	"23"	"1.423"	"0.51"	"0.788020743419752"	"1.06"	"1.411"	"1.387"	"1.425"	"1.431"	"1.421"	"1.454"	"0.50"	"0.47"	"0.51"	"0.52"	"0.51"	"0.54"	"84.8"	"115.2"	"87.3"	"86.6"	"85.5"	"82.6"	"83.2"	"84.1"	"118.3"	"117.0"	"115.6"	"112.1"	"113.1"	"114.7"	"87.3"	"86.6"	"85.5"	"82.6"	"83.2"	"84.1"	"118.3"	"117.0"	"115.6"	"112.1"	"113.1"	"114.7"	"1021857664.19518"	"1014616139.0895"	"1000822486.88234"	"967466817.568252"	"973951628.711575"	"984316744.811472"	"1384874496.44162"	"1370232770.51579"	"1353581213.7186"	"1312691615.00192"	"1324755729.98152"	"1342814940.57531"	"974744762.244507"	"833826182.254395"	"800992395.658813"	"755990494.546875"	"973804584.007324"	"707617648.014404"	"1187775107.0918"	"1019076402.33594"	"979102504.799805"	"926834349.477295"	"1175396853.54517"	"870316479.219727"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"-2220837361715177214"	"High"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4"	"0.000"	"False"	"1371.621"	"70"	"62"	"24"	"38"	"6806.98"	"2"	"1.178"	"0.24"	"0.924300275851523"	"2.39"	"1.165"	"1.177"	"1.234"	"1.153"	"1.226"	"1.180"	"0.22"	"0.23"	"0.30"	"0.21"	"0.29"	"0.24"	"92.6"	"107.4"	"93.5"	"93.4"	"94.3"	"94.0"	"87.5"	"93.1"	"108.3"	"108.3"	"110.4"	"106.0"	"102.8"	"108.5"	"93.5"	"93.4"	"94.3"	"94.0"	"87.5"	"93.1"	"108.3"	"108.3"	"110.4"	"106.0"	"102.8"	"108.5"	"440798358.460997"	"440361171.859531"	"444652050.572308"	"443169237.500724"	"412662431.242645"	"438911509.720747"	"510841649.023881"	"510822605.076853"	"520866098.184721"	"500106951.865446"	"484963083.586218"	"511957368.953865"	"419357277.121704"	"361797862.862549"	"355857979.499512"	"346354190.077637"	"412414147.177734"	"315008778.873535"	"439182649.067566"	"378174997.853516"	"374153992.609558"	"352134547.946594"	"428025709.386719"	"330917177.514893"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"5619484675981056092"	"High"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	"0.000"	"False"	"1309.143"	"83"	"49"	"34"	"49"	"9269.43"	"0"	"1.068"	"0.09"	"0.998197640316435"	"1.83"	"1.078"	"1.052"	"1.079"	"1.087"	"1.058"	"1.050"	"0.11"	"0.07"	"0.11"	"0.12"	"0.08"	"0.07"	"95.8"	"104.2"	"96.1"	"97.3"	"95.7"	"96.1"	"97.3"	"93.3"	"104.7"	"104.4"	"103.9"	"105.0"	"105.6"	"100.7"	"96.1"	"97.3"	"95.7"	"96.1"	"97.3"	"93.3"	"104.7"	"104.4"	"103.9"	"105.0"	"105.6"	"100.7"	"763507494.68019"	"773174913.36743"	"760459892.137656"	"763458805.654777"	"773772181.546393"	"741902217.138391"	"832113136.950558"	"829996945.10735"	"825573343.220763"	"834705655.596784"	"839422530.493127"	"800138012.430335"	"728330280.386108"	"635075336.786865"	"609374505.211182"	"596673085.391602"	"773738673.297852"	"532995027.342529"	"714107813.65625"	"618054825.812256"	"595995149.635742"	"588712863.292969"	"741171539.819092"	"519473777.286621"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"-6252367434931231115"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"False"	"1272.448"	"57"	"97"	"1"	"97"	"4727.62"	"0"	"1.580"	"0.66"	"0.637461389248756"	"1.14"	"1.568"	"1.543"	"1.585"	"1.575"	"1.592"	"1.600"	"0.65"	"0.63"	"0.66"	"0.66"	"0.67"	"0.68"	"81.7"	"118.3"	"84.0"	"81.2"	"81.4"	"80.7"	"83.3"	"80.7"	"122.1"	"116.1"	"117.5"	"114.6"	"120.3"	"118.1"	"84.0"	"81.2"	"81.4"	"80.7"	"83.3"	"80.7"	"122.1"	"116.1"	"117.5"	"114.6"	"120.3"	"118.1"	"184875641.504144"	"178647540.489581"	"179165859.748083"	"177508342.435235"	"183139307.435962"	"177553942.098851"	"268645256.406927"	"255324073.768172"	"258409895.114351"	"251986296.73408"	"264641548.099504"	"259771373.635734"	"172326531.375"	"145159573.222656"	"139447897.054688"	"133311258.407227"	"178173411.6875"	"124651045.817383"	"227805509.398438"	"186858224.257813"	"183136645.324219"	"177790055.597656"	"231906207.117188"	"168769117.421875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"-4567547795878987385"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"0.000"	"False"	"1195.655"	"56"	"91"	"1"	"88"	"3338.63"	"3"	"1.002"	"0.00"	"0.957847643698131"	"1.71"	"1.000"	"0.987"	"1.010"	"1.021"	"1.005"	"0.975"	"0.00"	"-0.02"	"0.01"	"0.03"	"0.01"	"-0.04"	"98.8"	"101.2"	"101.1"	"100.4"	"99.6"	"97.0"	"99.0"	"95.4"	"102.5"	"101.1"	"104.4"	"99.2"	"102.5"	"97.8"	"101.1"	"100.4"	"99.6"	"97.0"	"99.0"	"95.4"	"102.5"	"101.1"	"104.4"	"99.2"	"102.5"	"97.8"	"209847207.325705"	"208397637.763983"	"206632252.494161"	"201248611.427841"	"205546504.098048"	"197903190.705773"	"212685576.685002"	"209904226.877715"	"216576597.350043"	"205869097.637192"	"212653221.637809"	"202969956.989363"	"199897385.863647"	"171052908.732422"	"162227117.766113"	"146429850.453125"	"190538916.765625"	"133013567.976563"	"180948208.390625"	"155731471.044922"	"151869151.529297"	"142612026.53125"	"188267826.9375"	"128006108.828125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"5927523368410573672"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	"0.000"	"False"	"1187.046"	"41"	"127"	"124"	"127"	"3437.46"	"0"	"0.883"	"-0.18"	"0.866745882371738"	"2.26"	"0.884"	"0.895"	"0.883"	"0.860"	"0.920"	"0.869"	"-0.18"	"-0.16"	"-0.18"	"-0.22"	"-0.12"	"-0.20"	"106.9"	"93.1"	"109.1"	"106.5"	"109.2"	"102.0"	"102.7"	"109.2"	"95.8"	"93.4"	"96.1"	"89.4"	"92.6"	"94.2"	"109.1"	"106.5"	"109.2"	"102.0"	"102.7"	"109.2"	"95.8"	"93.4"	"96.1"	"89.4"	"92.6"	"94.2"	"204008380.024438"	"199157915.483798"	"204192251.034834"	"190743153.644152"	"192034227.122022"	"204228614.387071"	"179126600.777931"	"174813549.115927"	"179793933.853232"	"167272338.847271"	"173300641.528056"	"176224235.408492"	"190858955.101563"	"156368308.835938"	"156216753.570313"	"140592357.765625"	"188246430.753906"	"140635693.304688"	"147952957.210938"	"125511795.804688"	"128804349.630859"	"113867854.753906"	"146274614.635742"	"110503862.526367"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"2962281166201317424"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"False"	"1165.875"	"49"	"84"	"64"	"73"	"3717.67"	"11"	"1.082"	"0.11"	"0.990953487374676"	"1.49"	"1.076"	"1.072"	"1.118"	"1.087"	"1.119"	"1.071"	"0.11"	"0.10"	"0.16"	"0.12"	"0.16"	"0.10"	"96.9"	"103.1"	"95.8"	"100.1"	"95.6"	"94.0"	"98.0"	"100.4"	"98.9"	"99.1"	"105.6"	"102.8"	"106.6"	"103.2"	"95.8"	"100.1"	"95.6"	"94.0"	"98.0"	"100.4"	"98.9"	"99.1"	"105.6"	"102.8"	"106.6"	"103.2"	"195397677.85872"	"204301745.358286"	"195121677.819547"	"191898450.546098"	"200001250.728531"	"204809583.83359"	"201838936.089857"	"202132575.854433"	"215435618.357003"	"209817326.196126"	"217484244.698275"	"210560904.410568"	"173771249.21875"	"166414760.352539"	"155470802.620605"	"149899760.80127"	"188080969.087891"	"145905350.580078"	"166338874.591797"	"148388334.266602"	"151404838.652588"	"141602951.375977"	"187578374.693359"	"134481148.441406"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"6980118088250601043"	"High"	"IsMasterProtein"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"False"	"1162.144"	"95"	"34"	"0"	"1"	"11985.98"	"0"	"1.091"	"0.13"	"0.983764752521519"	"1.50"	"1.129"	"1.081"	"1.100"	"1.067"	"1.101"	"1.079"	"0.17"	"0.11"	"0.14"	"0.09"	"0.14"	"0.11"	"92.5"	"107.5"	"104.1"	"87.6"	"79.6"	"86.4"	"97.7"	"98.8"	"122.2"	"101.3"	"93.5"	"99.3"	"115.2"	"114.1"	"104.1"	"87.6"	"79.6"	"86.4"	"97.7"	"98.8"	"122.2"	"101.3"	"93.5"	"99.3"	"115.2"	"114.1"	"52712004.9707892"	"44334016.3491618"	"40308596.6250707"	"43745152.0183076"	"49446540.75"	"49991383.0901573"	"61855523.1967383"	"51283831.6465294"	"47327835.9929036"	"50276696.9872122"	"58319465.2223265"	"57774178.0103202"	"50287942.546875"	"36442416.796875"	"32322357.03125"	"34188556.9101563"	"49446540.75"	"35945262.3125"	"53253685.671875"	"38268372.2265625"	"34240124.328125"	"35498184.9609375"	"51900013.859375"	"37595220.1875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"-174490317750568225"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"False"	"1144.676"	"95"	"34"	"0"	"1"	"11988.91"	"43"	"0.946"	"-0.08"	"0.917292542116765"	"2.79"	"1.024"	"0.961"	"0.939"	"0.953"	"0.899"	"0.925"	"0.03"	"-0.06"	"-0.09"	"-0.07"	"-0.15"	"-0.11"	"103.2"	"96.8"	"100.9"	"103.4"	"103.5"	"103.4"	"102.7"	"104.5"	"94.9"	"97.4"	"97.2"	"96.9"	"96.3"	"98.9"	"100.9"	"103.4"	"103.5"	"103.4"	"102.7"	"104.5"	"94.9"	"97.4"	"97.2"	"96.9"	"96.3"	"98.9"	"2259226746.13387"	"2314260501.94642"	"2316594184.62257"	"2316063936.9056"	"2300384932.023"	"2338744130.05883"	"2125669512.90681"	"2180818649.75768"	"2175286039.03696"	"2168722829.40371"	"2157145399.50193"	"2213796422.63412"	"2152363366.8335"	"1900656259.95667"	"1856462607.40039"	"1810095063.36426"	"2300270363.91467"	"1680557634.19775"	"1824819106.3291"	"1623298623.73523"	"1568107645.70947"	"1531240688.83765"	"1917817104.50854"	"1435271966.71118"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"682895518506643546"	"High"	"IsMasterProtein"	"P11021"	"Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2"	"0.000"	"False"	"1086.576"	"72"	"51"	"48"	"49"	"4799.59"	"2"	"1.438"	"0.52"	"0.773701283728381"	"1.34"	"1.480"	"1.433"	"1.441"	"1.434"	"1.406"	"1.459"	"0.57"	"0.52"	"0.53"	"0.52"	"0.49"	"0.54"	"81.9"	"118.1"	"81.8"	"81.9"	"81.8"	"83.3"	"80.9"	"80.8"	"117.4"	"117.0"	"118.3"	"120.1"	"119.0"	"117.6"	"81.8"	"81.9"	"81.8"	"83.3"	"80.9"	"80.8"	"117.4"	"117.0"	"118.3"	"120.1"	"119.0"	"117.6"	"541999921.316785"	"542987241.607172"	"542298206.921989"	"551944547.188871"	"536023634.144207"	"535808107.643484"	"778273276.907593"	"775148515.321804"	"783819880.068019"	"796284482.972751"	"789008593.219275"	"779614904.377439"	"513125936.03772"	"445622093.111633"	"433971059.159302"	"429064918.400391"	"531516323.16626"	"384056445.567261"	"669070100.905151"	"577168442.524902"	"566370765.904297"	"561888248.818604"	"701364246.560913"	"506111791.143799"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
