colname,select,new_colname
Proteins.Unique.Sequence.ID,,
Protein.FDR.Confidence.Combined,Yes,Protein.FDR.Confidence.Combined
Master,,
Accession,Yes,Accession
Description,Yes,Description
Exp.q-value.Combined,,
Contaminant,,
Sum.PEP.Score,,
Coverage.in.Percent,,
Number.of.Peptides,,
Number.of.Protein.Unique.Peptides,,
Number.of.Unique.Peptides,,
Score.Sequest.HT.Sequest.HT,,
Number.of.Razor.Peptides,,
Abundance.Ratio.Heavy.Sample..Light.Control,Yes,Grouped_ratio
Abundance.Ratio.log2.Heavy.Sample..Light.Control,,
Abundance.Ratio.Adj.P-Value.Heavy.Sample..Light.Control,,
Abundance.Ratio.Variability.in.Percent.Heavy.Sample..Light.Control,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep1..Light.Controlrep1,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep2..Light.Controlrep2,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep3..Light.Controlrep3,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep4..Light.Controlrep4,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep5..Light.Controlrep5,,
Abundance.Ratios.by.Bio.Rep.Heavy.Samplerep6..Light.Controlrep6,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep1..Light.Controlrep1,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep2..Light.Controlrep2,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep3..Light.Controlrep3,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep4..Light.Controlrep4,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep5..Light.Controlrep5,,
Abundance.Ratios.log2.by.Bio.Rep.Heavy.Samplerep6..Light.Controlrep6,,
Abundances.Grouped.Light.Control,,
Abundances.Grouped.Heavy.Sample,,
Abundances.by.Bio.Rep.Light.Controlrep1,,
Abundances.by.Bio.Rep.Light.Controlrep2,,
Abundances.by.Bio.Rep.Light.Controlrep3,,
Abundances.by.Bio.Rep.Light.Controlrep4,,
Abundances.by.Bio.Rep.Light.Controlrep5,,
Abundances.by.Bio.Rep.Light.Controlrep6,,
Abundances.by.Bio.Rep.Heavy.Samplerep1,,
Abundances.by.Bio.Rep.Heavy.Samplerep2,,
Abundances.by.Bio.Rep.Heavy.Samplerep3,,
Abundances.by.Bio.Rep.Heavy.Samplerep4,,
Abundances.by.Bio.Rep.Heavy.Samplerep5,,
Abundances.by.Bio.Rep.Heavy.Samplerep6,,
Abundances.Scaled.F1.Light.Control.rep1,,
Abundances.Scaled.F2.Light.Control.rep2,,
Abundances.Scaled.F3.Light.Control.rep3,,
Abundances.Scaled.F4.Light.Control.rep4,,
Abundances.Scaled.F5.Light.Control.rep5,,
Abundances.Scaled.F6.Light.Control.rep6,,
Abundances.Scaled.F1.Heavy.Sample.rep1,,
Abundances.Scaled.F2.Heavy.Sample.rep2,,
Abundances.Scaled.F3.Heavy.Sample.rep3,,
Abundances.Scaled.F4.Heavy.Sample.rep4,,
Abundances.Scaled.F5.Heavy.Sample.rep5,,
Abundances.Scaled.F6.Heavy.Sample.rep6,,
Abundances.Normalized.F1.Light.Control.rep1,Yes,Light.rep1
Abundances.Normalized.F2.Light.Control.rep2,Yes,Light.rep2
Abundances.Normalized.F3.Light.Control.rep3,Yes,Light.rep3
Abundances.Normalized.F4.Light.Control.rep4,Yes,Light.rep4
Abundances.Normalized.F5.Light.Control.rep5,Yes,Light.rep5
Abundances.Normalized.F6.Light.Control.rep6,Yes,Light.rep6
Abundances.Normalized.F1.Heavy.Sample.rep1,Yes,Heavy.rep1
Abundances.Normalized.F2.Heavy.Sample.rep2,Yes,Heavy.rep2
Abundances.Normalized.F3.Heavy.Sample.rep3,Yes,Heavy.rep3
Abundances.Normalized.F4.Heavy.Sample.rep4,Yes,Heavy.rep4
Abundances.Normalized.F5.Heavy.Sample.rep5,Yes,Heavy.rep5
Abundances.Normalized.F6.Heavy.Sample.rep6,Yes,Heavy.rep6
Abundance.F1.Light.Control.rep1,,
Abundance.F2.Light.Control.rep2,,
Abundance.F3.Light.Control.rep3,,
Abundance.F4.Light.Control.rep4,,
Abundance.F5.Light.Control.rep5,,
Abundance.F6.Light.Control.rep6,,
Abundance.F1.Heavy.Sample.rep1,,
Abundance.F2.Heavy.Sample.rep2,,
Abundance.F3.Heavy.Sample.rep3,,
Abundance.F4.Heavy.Sample.rep4,,
Abundance.F5.Heavy.Sample.rep5,,
Abundance.F6.Heavy.Sample.rep6,,
Found.in.Sample.in.S1.F1.Light.Control.rep1,,
Found.in.Sample.in.S2.F2.Light.Control.rep2,,
Found.in.Sample.in.S3.F3.Light.Control.rep3,,
Found.in.Sample.in.S4.F4.Light.Control.rep4,,
Found.in.Sample.in.S5.F5.Light.Control.rep5,,
Found.in.Sample.in.S6.F6.Light.Control.rep6,,
Found.in.Sample.in.S7.F1.Heavy.Sample.rep1,,
Found.in.Sample.in.S8.F2.Heavy.Sample.rep2,,
Found.in.Sample.in.S9.F3.Heavy.Sample.rep3,,
Found.in.Sample.in.S10.F4.Heavy.Sample.rep4,,
Found.in.Sample.in.S11.F5.Heavy.Sample.rep5,,
Found.in.Sample.in.S12.F6.Heavy.Sample.rep6,,
Number.of.Protein.Groups,,
