colname,selectcol,new_colname
Proteins.Unique.Sequence.ID,,
Checked,,
Protein.FDR.Confidence.Combined,Yes,Protein.FDR.Confidence.Combined
Master,,
Accession,Yes,Accession
Description,Yes,Description
Exp.q-value.Combined,,
Contaminant,,
Sum.PEP.Score,,
Coverage.in.Percent,,
Number.of.Peptides,,
Number.of.PSMs,,
Number.of.Unique.Peptides,,
Number.of.AAs,,
MW.in.kDa,,
calc.pI,,
Score.Sequest.HT.Sequest.HT,,
Number.of.Peptides.by.Search.Engine.Sequest.HT,,
Number.of.Razor.Peptides,,
Abundance.Ratio.F1.Light..F1.Heavy,,
Abundance.Ratio.F2.Light..F2.Heavy,,
Abundance.Ratio.F3.Light..F3.Heavy,,
Abundance.Ratio.F4.Light..F4.Heavy,,
Abundance.Ratio.F5.Light..F5.Heavy,,
Abundance.Ratio.F6.Light..F6.Heavy,,
Abundance.Ratio.Adj.P-Value.F1.Light..F1.Heavy,,
Abundance.Ratio.Adj.P-Value.F2.Light..F2.Heavy,,
Abundance.Ratio.Adj.P-Value.F3.Light..F3.Heavy,,
Abundance.Ratio.Adj.P-Value.F4.Light..F4.Heavy,,
Abundance.Ratio.Adj.P-Value.F5.Light..F5.Heavy,,
Abundance.Ratio.Adj.P-Value.F6.Light..F6.Heavy,,
Abundance.Ratio.Variability.in.Percent.F1.Light..F1.Heavy,,
Abundance.Ratio.Variability.in.Percent.F2.Light..F2.Heavy,,
Abundance.Ratio.Variability.in.Percent.F3.Light..F3.Heavy,,
Abundance.Ratio.Variability.in.Percent.F4.Light..F4.Heavy,,
Abundance.Ratio.Variability.in.Percent.F5.Light..F5.Heavy,,
Abundance.Ratio.Variability.in.Percent.F6.Light..F6.Heavy,,
Abundances.Grouped.F1.Light,,
Abundances.Grouped.F1.Heavy,,
Abundances.Grouped.F2.Light,,
Abundances.Grouped.F2.Heavy,,
Abundances.Grouped.F3.Light,,
Abundances.Grouped.F3.Heavy,,
Abundances.Grouped.F4.Light,,
Abundances.Grouped.F4.Heavy,,
Abundances.Grouped.F5.Light,,
Abundances.Grouped.F5.Heavy,,
Abundances.Grouped.F6.Light,,
Abundances.Grouped.F6.Heavy,,
Abundances.by.Bio.Rep.F1.Light1,,
Abundances.by.Bio.Rep.F1.Heavy1,,
Abundances.by.Bio.Rep.F2.Light2,,
Abundances.by.Bio.Rep.F2.Heavy2,,
Abundances.by.Bio.Rep.F3.Light3,,
Abundances.by.Bio.Rep.F3.Heavy3,,
Abundances.by.Bio.Rep.F4.Light4,,
Abundances.by.Bio.Rep.F4.Heavy4,,
Abundances.by.Bio.Rep.F5.Light5,,
Abundances.by.Bio.Rep.F5.Heavy5,,
Abundances.by.Bio.Rep.F6.Light6,,
Abundances.by.Bio.Rep.F6.Heavy6,,
Abundances.Scaled.F1.Light.Sample.1,,
Abundances.Scaled.F1.Heavy.Control.1,,
Abundances.Scaled.F2.Light.Sample.2,,
Abundances.Scaled.F2.Heavy.Control.2,,
Abundances.Scaled.F3.Light.Sample.3,,
Abundances.Scaled.F3.Heavy.Control.3,,
Abundances.Scaled.F4.Light.Sample.4,,
Abundances.Scaled.F4.Heavy.Control.4,,
Abundances.Scaled.F5.Light.Sample.5,,
Abundances.Scaled.F5.Heavy.Control.5,,
Abundances.Scaled.F6.Light.Sample.6,,
Abundances.Scaled.F6.Heavy.Control.6,,
Abundances.Normalized.F1.Light.Sample.1,Yes,Sample_1
Abundances.Normalized.F1.Heavy.Control.1,Yes,Control_1
Abundances.Normalized.F2.Light.Sample.2,Yes,Sample_2
Abundances.Normalized.F2.Heavy.Control.2,Yes,Control_2
Abundances.Normalized.F3.Light.Sample.3,Yes,Sample_3
Abundances.Normalized.F3.Heavy.Control.3,Yes,Control_3
Abundances.Normalized.F4.Light.Sample.4,Yes,Sample_4
Abundances.Normalized.F4.Heavy.Control.4,Yes,Control_4
Abundances.Normalized.F5.Light.Sample.5,Yes,Sample_5
Abundances.Normalized.F5.Heavy.Control.5,Yes,Control_5
Abundances.Normalized.F6.Light.Sample.6,Yes,Sample_6
Abundances.Normalized.F6.Heavy.Control.6,Yes,Control_6
Abundance.F1.Light.Sample.1,,
Abundance.F1.Heavy.Control.1,,
Abundance.F2.Light.Sample.2,,
Abundance.F2.Heavy.Control.2,,
Abundance.F3.Light.Sample.3,,
Abundance.F3.Heavy.Control.3,,
Abundance.F4.Light.Sample.4,,
Abundance.F4.Heavy.Control.4,,
Abundance.F5.Light.Sample.5,,
Abundance.F5.Heavy.Control.5,,
Abundance.F6.Light.Sample.6,,
Abundance.F6.Heavy.Control.6,,
Found.in.Sample.in.S1.F1.Light.Sample.1,,
Found.in.Sample.in.S7.F1.Heavy.Control.1,,
Found.in.Sample.in.S2.F2.Light.Sample.2,,
Found.in.Sample.in.S8.F2.Heavy.Control.2,,
Found.in.Sample.in.S3.F3.Light.Sample.3,,
Found.in.Sample.in.S9.F3.Heavy.Control.3,,
Found.in.Sample.in.S4.F4.Light.Sample.4,,
Found.in.Sample.in.S10.F4.Heavy.Control.4,,
Found.in.Sample.in.S5.F5.Light.Sample.5,,
Found.in.Sample.in.S11.F5.Heavy.Control.5,,
Found.in.Sample.in.S6.F6.Light.Sample.6,,
Found.in.Sample.in.S12.F6.Heavy.Control.6,,
Number.of.Protein.Groups,,
Modifications,,
