ACCESSION,name
P42704,LRPPRC
A0A2R8YCH5,CTNNB1
P35527,KRT9
P04264,KRT1
P35908,KRT2
A0A669KB05,CTNND1
P05787,KRT8
P15924,DSP
P13645,KRT10
P05783,KRT18
H0YFD6,HADHA
P02533,KRT14
P08727,KRT19
P58107,EPPK1
P08779,KRT16
P13647,KRT5
P14923,JUP
P11142,HSPA8
P11142,HSPA8
P12830,CDH1
P12830,ARHGEF38
P35658,NUP214
P02538,KRT6A
P04259,KRT6B
P08729,KRT7
P55084,HADHB
P10809,HSPD1
P11021,HSPA5
P11021,HSPA5
P68371,TUBB4B
Q14157,UBAP2L
P68363,TUBA1B
Q01085,TIAL1
P56945,BCAR1
P04406,GAPDH
P04406,GAPDH
Q9BUJ2,HNRNPUL1
Q9BUJ2,HNRNPUL1
Q04695,KRT17
Q99569,PKP4
F8W8I6,TIA1
P19474,TRIM21
C9JJX6,ARVCF
Q02413,DSG1
P08238,HSP90AB1
P22626,HNRNPA2B1
P06576,ATP5F1B
P06576,ATP5F1B
P25705,ATP5F1A
P25705,ATP5F1A
P25705,SFT2D2
Q13509,TUBB3
P17302,GJA1
P17302,GJA1
Q5D862,FLG2
P08670,VIM
P08670,VIM
P13646,KRT13
P38646,HSPA9
P07900,HSP90AA1
P07900,HSP90AA1
Q02383,SEMG2
P68104,EEF1A1
P04083,ANXA1
Q7Z794,KRT77
Q9Y230,RUVBL2
Q5T9A4,ATAD3B
P21796,VDAC1
P21796,TUG1
Q92945,KHSRP
P31944,CASP14
F8W6I7,HNRNPA1
F8W6I7,HNRNPA1
P07355,ANXA2
Q14677,CLINT1
Q99623,PHB2
P04792,HSPB1
P04792,HSPB1
Q5T5P2,KIAA1217
P35232,PHB1
P35232,PHB1
Q9NVI7,ATAD3A
P31943,HNRNPH1
A0A2R8Y6G6,ENO1
A0A2R8Y6G6,ENO1
A0A3B3ITD8,NUP98
P06748,NPM1
P02768,ALB
Q7Z739,YTHDF3
A0A0G2JIW1,HSPA1B
P62805,H4C8
P62805,H4C8
P62805,H4C3
P62805,H4C3
P62805,H4C11
P62805,H4C11
P62805,H4C16
P62805,H4C16
P62805,H4C15
P62805,H4C15
P62805,H4C14
P62805,H4C14
P62805,H4C12
P62805,H4C12
P62805,H4C6
P62805,H4C6
P62805,H4C13
P62805,H4C13
P62805,H4C9
P62805,H4C9
P62805,H4C5
P62805,H4C5
P62805,H4C4
P62805,H4C4
P62805,H4C1
P62805,H4C1
P62805,H4C2
P62805,H4C2
Q08188,TGM3
P05141,SLC25A5
P12236,SLC25A6
P29508,SERPINB3
Q96P63,SERPINB12
F5GZS6,SLC3A2
Q01546,KRT76
P19013,KRT4
P61978,HNRNPK
P14618,PKM
P14618,PKM
P14618,PKM
Q00839,HNRNPU
P78406,RAE1
Q9GZT3,SLIRP
Q9NZT1,CALML5
Q6KB66,KRT80
B4DY08,HNRNPC
Q8WU79,SMAP2
P02545,LMNA
A0A087X0X3,HNRNPM
P52597,HNRNPF
P52597,HNRNPF
O60232,ZNRD2
Q15149,PLEC
J3QTR3,RPS27A
J3QTR3,RPS27A
P16403,H1-2
P25311,AZGP1
Q08554,DSC1
Q6ZXV5,TMTC3
P14625,HSP90B1
P14625,HSP90B1
Q14126,DSG2
Q6UWP8,SBSN
Q9Y5A9,YTHDF2
P20700,LMNB1
P40926,MDH2
P23396,RPS3
Q06830,PRDX1
P04075,ALDOA
P04075,ALDOA
