Accession,Gene name,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
A0A2R8YCH5,CTNNB1,6,0.86,11.89,0.86,11.40,0.90,15.14,0.85,10.74,0.88,11.82,0.90,15.73
P35527,KRT9,6,0.97,22.82,0.98,23.05,0.98,20.22,0.98,24.70,0.96,21.80,0.95,19.93
P42704,LRPPRC,6,1.00,25.08,0.99,24.60,1.00,25.02,1.00,26.98,0.97,23.26,0.98,24.54
P35908,KRT2,6,0.99,15.90,0.98,24.35,0.98,21.88,0.96,21.10,0.96,21.89,0.74,4.83
P13645,KRT10,6,0.97,22.12,0.98,23.38,0.96,21.06,0.98,23.88,0.94,20.15,0.95,20.76
P05787,KRT8,6,1.00,25.48,0.97,21.62,0.96,20.14,1.00,26.83,0.95,20.85,1.00,26.41
P02533,KRT14,6,0.97,22.08,0.91,15.75,0.85,11.33,0.98,24.35,0.76,4.97,0.93,19.28
H0YFD6,HADHA,6,1.00,25.19,1.00,25.34,0.92,16.50,1.00,26.98,0.75,5.47,0.96,22.68
P13647,KRT5,6,0.97,21.82,0.97,22.71,0.97,21.88,0.95,20.96,0.94,20.61,0.95,21.08
P08779,KRT16,6,0.97,21.56,0.98,23.77,0.98,19.22,0.85,11.63,0.94,13.87,0.98,24.08
A0A087WXI5,CDH1,6,0.96,14.14,0.93,16.16,0.97,21.75,0.88,15.18,0.97,20.86,0.95,13.83
P14923,JUP,6,0.97,22.40,0.77,5.53,0.94,16.61,0.92,18.62,0.80,8.00,0.91,17.68
P02538,KRT6A,6,0.85,9.78,0.92,16.70,0.96,16.32,0.79,8.57,0.88,13.16,0.91,15.72
Q04695,KRT17,6,0.91,12.37,0.93,17.75,0.94,16.14,0.94,15.63,0.86,12.32,0.91,16.19
E9PDC3,ARVCF,6,0.79,5.16,0.91,15.55,0.95,18.42,0.85,8.13,0.84,10.70,0.88,14.01
P06576,ATP5F1B,6,0.97,22.23,0.96,20.49,0.83,9.06,0.96,21.66,0.79,5.94,0.90,15.81
P06733,ENO1,6,0.93,16.60,0.87,11.53,0.83,6.53,0.88,15.23,0.78,6.25,0.92,18.53
P02768,ALB,6,1.00,25.34,1.00,25.50,1.00,25.19,1.00,26.73,1.00,26.71,1.00,26.95
Q5D862,FLG2,6,1.00,25.27,1.00,25.50,0.99,24.51,1.00,26.72,1.00,26.71,0.99,25.86
Q86YZ3,HRNR,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
Q8N1N4,KRT78,6,0.94,16.94,0.89,15.43,0.95,19.64,0.91,17.14,0.97,22.49,0.83,10.03
Q7Z794,KRT77,6,0.98,19.54,0.97,21.68,0.99,24.11,0.98,17.32,0.99,25.82,0.98,24.74
E7EQB2,LTF,6,0.85,11.45,0.97,18.54,0.98,21.77,0.87,14.38,0.95,21.05,0.94,18.24
P06702,S100A9,6,0.83,8.60,0.77,7.72,0.81,7.03,0.85,12.51,0.82,11.39,0.84,10.10
Q08188,TGM3,6,0.92,17.60,0.96,20.76,0.82,11.00,0.93,19.68,0.87,13.57,0.90,16.63
P29508,SERPINB3,6,0.98,18.03,0.87,12.66,0.94,19.27,0.99,22.93,0.90,11.88,0.96,20.65
O43790,KRT86,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,18.35,1.00,27.02
P31944,CASP14,6,0.99,23.50,0.98,22.99,0.94,17.10,0.91,18.59,0.94,17.02,0.95,19.62
F5GZS6,SLC3A2,6,0.96,20.82,0.89,14.37,0.91,15.62,0.92,10.10,0.91,15.87,0.95,20.40
Q6KB66,KRT80,6,0.98,23.01,0.97,22.15,0.97,21.87,0.94,20.88,0.95,21.23,0.96,22.13
O75533,SF3B1,6,0.99,24.78,0.96,19.56,0.86,10.62,0.91,17.98,0.87,12.35,0.96,21.91
Q01546,KRT76,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,19.49,1.00,26.71,1.00,27.02
P05089,ARG1,6,1.00,24.11,0.99,24.04,0.91,13.68,0.93,17.44,0.84,9.45,0.87,12.80
P01857,IGHG1,6,0.94,18.26,0.93,19.34,0.88,11.39,0.87,14.17,0.91,18.54,0.95,19.92
P30101,PDIA3,6,0.86,9.97,0.80,6.71,0.72,3.35,0.85,13.54,0.73,4.05,0.89,15.89
P05023,ATP1A1,6,0.91,6.64,0.96,21.62,0.88,13.13,0.93,3.05,0.91,15.43,0.96,22.89
P21333,FLNA,6,0.97,22.49,0.96,21.34,0.98,21.30,1.00,24.78,0.93,18.98,0.96,21.94
A0A1B0GVD5,CTSD,6,0.98,20.42,0.92,17.71,0.74,3.73,0.94,21.34,0.92,17.14,0.89,15.50
P22223,CDH3,6,0.93,17.80,0.96,19.92,0.96,17.36,0.98,14.15,0.90,16.00,0.89,15.84
Q5T749,KPRP,6,1.00,23.93,0.99,21.39,1.00,21.76,0.93,18.15,1.00,22.84,1.00,27.02
P00338,LDHA,6,0.92,17.32,0.76,4.23,0.76,4.25,1.00,26.99,0.74,4.79,0.91,15.69
G8JLG2,CDSN,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,21.76,1.00,27.02
P07737,PFN1,6,1.00,21.77,0.97,17.33,0.70,4.72,1.00,25.76,0.74,4.12,1.00,23.71
Q13867,BLMH,6,0.96,18.07,0.93,17.94,0.92,17.58,0.84,10.99,0.81,7.94,0.89,16.33
P32119,PRDX2,6,0.96,18.71,0.95,18.71,0.81,8.21,0.92,17.67,0.78,5.83,0.91,15.51
P81605,DCD,6,0.98,24.05,0.99,23.98,0.98,21.32,0.99,25.63,0.99,25.18,1.00,26.80
O43278,SPINT1,6,1.00,25.55,1.00,25.86,1.00,19.97,1.00,24.96,0.99,24.25,1.00,27.02
O00571,DDX3X,6,0.99,24.40,0.99,24.62,0.78,3.88,0.91,17.91,0.89,12.08,1.00,25.76
A0A5F9ZHM4,LDHB,6,0.97,21.79,0.93,17.63,0.89,9.43,0.96,22.64,0.86,9.12,0.96,21.61
P01040,CSTA,6,0.98,23.22,0.96,21.72,1.00,25.21,0.96,20.01,1.00,24.67,0.98,22.81
P01876,IGHA1,6,1.00,25.55,1.00,25.86,1.00,20.61,1.00,24.94,1.00,26.71,1.00,27.02
P68871,HBB,6,0.97,22.58,0.97,22.36,1.00,24.02,0.98,24.82,0.96,21.58,0.97,21.82
Q92542,NCSTN,6,1.00,25.55,1.00,25.86,0.97,20.44,1.00,26.99,0.91,15.84,1.00,27.02
A0A024R6I7,SERPINA1,6,1.00,25.55,1.00,18.64,1.00,18.16,1.00,26.99,1.00,19.28,1.00,27.02
P63104,YWHAZ,6,1.00,25.55,1.00,20.05,0.84,8.61,0.96,21.90,0.75,7.37,0.88,16.80
Q96QA5,GSDMA,6,1.00,25.55,1.00,24.72,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
P02763,ORM1,6,0.99,23.67,1.00,25.86,1.00,25.21,1.00,26.18,1.00,26.71,0.98,23.44
P42357,HAL,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,19.49,1.00,26.71,1.00,27.02
Q9UI42,CPA4,6,1.00,25.55,1.00,22.90,1.00,25.21,1.00,25.24,1.00,26.71,0.96,20.96
A0A286YEY4,IGHG2,6,0.95,18.90,0.95,15.84,0.90,14.55,0.95,20.99,0.97,22.99,0.99,25.07
P01036,CST4,6,0.90,5.19,1.00,25.86,1.00,18.16,1.00,26.99,1.00,19.28,1.00,19.52
A0A1B0GUE3,ASAH1,6,1.00,23.58,1.00,25.86,0.76,3.63,1.00,26.99,1.00,19.28,1.00,27.02
