"accession","mu","sd.x","idirt_mu","sd.y","contaminant"
"1","A0A087X0X3",0.583016037518618,0.128907231897944,0.485003658693576,0.107083397965548,"no"
"2","Q08188",0.917838917126261,0.0545688002285438,0.132913383193669,0.0832809325061105,"no"
"3","Q9NZT1",0.878702272854978,0.0765612117052142,0.116244509957581,0.0748652054822884,"no"
"4","P04083",0.880797825699057,0.059316583068994,0.716501872959372,0.0659300360025491,"no"
"5","A0A2R8YCH5",0.918658343410002,0.0214076675099306,0.824518845631249,0.0339491081322615,"no"
"6","Q01469",0.781541856880003,0.132666858574411,0.5,0.5,"no"
"7","P21796",0.587532518129507,0.0895976104462289,0.192250033718051,0.0633978597923584,"no"
"8","Q96P63",0.906032353169135,0.0613109696447738,0.0725577880764717,0.0489036687518528,"no"
"9","P01040",0.797794320565347,0.122324350281615,0.141190355991305,0.0884966585465496,"no"
"10","P05109",0.869423335040296,0.0828188362294439,0.13905787807241,0.0897384776900751,"no"
"13","Q5T9A4",0.822231614435708,0.0731947889827317,0.448920852699274,0.0973952289624416,"no"
"14","P05141",0.467359333633987,0.133990161016101,0.424019859015403,0.132317213858755,"no"
"15","P12236",0.613684855792769,0.121095044960946,0.61026679769651,0.113383312422951,"no"
"16","P01834",0.796859417554075,0.12081287064229,0.282273504551029,0.15758527232127,"no"
"17","P02768",0.951594055192525,0.0275605794423483,0.052205246613308,0.0354662401157805,"no"
"18","P35232",0.562919133647286,0.112081873136429,0.335907591027394,0.0711778824861562,"no"
"20","P14923",0.964116951794724,0.0208356417576352,0.641611245256253,0.0547933480538451,"no"
"21","E9PDC3",0.948558727030195,0.0266391517948733,0.882425079711637,0.0435453328132471,"no"
"22","P02545",0.790325042647757,0.0661564392682822,0.245935111874436,0.0677494104670832,"no"
"23","P04075",0.837011597793634,0.100132078537133,0.691729476224712,0.124683801970436,"no"
"24","Q06830",0.803093761981256,0.0995509143714958,0.499002045428679,0.103970500953034,"no"
"26","F5GZS6",0.918936061145555,0.0515641206979409,0.732831942029765,0.0665344143426798,"no"
"27","H0YFD6",0.386577292863067,0.0673733358273107,0.37409493196163,0.0639663032287906,"no"
"28","Q99569",0.852917585325991,0.0540884879382279,0.883875773834323,0.0388703987532287,"no"
"29","P04040",0.86573868262714,0.0814984769541287,0.159212277792745,0.102575717530568,"no"
"31","Q02413",0.941713641268096,0.0386903593115987,0.0505440225566072,0.0351863069833774,"no"
"32","P23396",0.679042647820347,0.148050271869128,0.420816124525401,0.137587762508749,"no"
"33","P42704",0.519094736048015,0.0321734444899248,0.415725609674059,0.0294509902977461,"no"
"35","V9GYM3",0.639172979304828,0.123041250452908,0.5,0.5,"no"
"36","P06576",0.557790545225369,0.079011890930832,0.30324687699251,0.0682331604197307,"no"
"37","P15924",0.967312622198241,0.0172484476649761,0.05174008297293,0.0202627928864271,"no"
"38","P19474",0.180948866675893,0.0464382501985371,0.414332299360936,0.0532660271661119,"no"
"39","P00558",0.713784600988522,0.162236998646641,0.5,0.5,"no"
"40","P01857",0.87401233871743,0.0825088787213023,0.292553439487619,0.1610178322625,"no"
"41","P22626",0.751620114404957,0.0980473921531164,0.204469201787253,0.0616539239921971,"no"
"42","P55084",0.398685792443562,0.0984295670906808,0.276395594072993,0.0745491972200815,"no"
"43","P49327",0.602308292375872,0.200666535554159,0.893324192241435,0.0638418623013777,"no"
"44","P31944",0.920770397321573,0.0532746735311587,0.117443168770427,0.0764783886348012,"no"
"46","P32119",0.867573770774914,0.0858202737137953,0.204926694971424,0.107550700196627,"no"
"47","P25705",0.548635660033002,0.0696819718363271,0.338464363699766,0.0577098674427059,"no"
"48","A0A024R6I7",0.799940186321083,0.12080982852993,0.5,0.5,"no"
"49","P47929",0.773884483608439,0.128138165145829,0.250548964781067,0.146139117866443,"no"
"50","O43278",0.804352203741875,0.11883372875007,0.817197997108626,0.109585457779141,"no"
"51","P13639",0.874145116302149,0.069137620662111,0.505574087347802,0.12385084187829,"no"
"52","P07355",0.936267590553415,0.0368502156290286,0.199259140543965,0.0619216064050109,"no"
"55","P38646",0.772797188041669,0.0802359702941753,0.568984291923542,0.075021149878756,"no"
"56","P11142",0.719289112158997,0.05673338164018,0.526213035439457,0.0587264349643656,"no"
"57","P11021",0.800881556067694,0.0762081829790686,0.61040324123543,0.0557373373319224,"no"
"58","P06733",0.888319331813044,0.0685076838807274,0.381208595116802,0.0991240456538424,"no"
"59","P81605",0.859284101648577,0.0890777793101687,0.137076268302822,0.0861068620436468,"no"
"60","P06748",0.668470427733454,0.180006834788995,0.480543095579808,0.162208743464504,"no"
"61","P04792",0.499164023960061,0.0945177978992075,0.452330431430946,0.104930082468913,"no"
"62","J3QR68",0.664474865086026,0.176228841628326,0.5,0.5,"no"
"64","P61978",0.609248941200829,0.149710855151825,0.275480350173128,0.0932716671818286,"no"
"65","P53985",0.662174978521064,0.1793819907391,0.819096153662775,0.109229764091475,"no"
"66","P58107",0.588713250331718,0.118717602508276,0.103366314935976,0.0472759390768831,"no"
"67","P02787",0.712101199105003,0.159828063186128,0.5,0.5,"no"
"68","Q99623",0.60014870389217,0.0832954887110002,0.446588880864969,0.0774706632545683,"no"
"69","P06702",0.898918650477474,0.0657629407960208,0.170173436965471,0.103303009586656,"no"
"70","P00338",0.86358893555339,0.0787964744204598,0.415428140862244,0.105121141061281,"no"
"71","P07900",0.62904526385245,0.124007291615363,0.657275774776705,0.106145884828475,"no"
"72","P12830",0.978747893483161,0.0146494415849485,0.951804115571733,0.0218835082982707,"no"
"73","Q9GZT3",0.493479522947054,0.0902921828988633,0.40456621695452,0.0937595225729624,"no"
"74","J3QTR3",0.806953113831739,0.0888818158102072,0.468380896497652,0.107490319463519,"no"
"75","A0A1B0GVD5",0.815139636471171,0.113939724009168,0.226934982091179,0.136028539272082,"no"
"76","P10809",0.667521883167582,0.0580603417860472,0.586717334214774,0.0538812677890273,"no"
"77","P62937",0.836292862640689,0.103900656253078,0.5,0.5,"no"
"78","F8VVM2",0.521378777657632,0.142082150874437,0.423663424698642,0.121872383358321,"no"
"79","Q6UWP8",0.778913010987164,0.127063280996756,0.226730453288888,0.135440450541205,"no"
"80","P14618",0.831216895873111,0.0850284154440375,0.678889859207898,0.0956922247740598,"no"
"81","P13667",0.712729094534438,0.138142373484797,0.442058620229109,0.139094564819784,"no"
"82","Q00839",0.631786088476075,0.16346956377817,0.339111544759807,0.100748667976677,"no"
"83","P52597",0.574553328453934,0.116414039069501,0.32316384192938,0.101725953853705,"no"
"84","P22223",0.868991914777131,0.0823647312343592,0.803898412676996,0.123598137819921,"no"
"85","P08238",0.719849105177816,0.103351804114058,0.475707787435042,0.0989745026551346,"no"
"86","P27797",0.754528081613017,0.140549686941284,0.348313527559781,0.124214654023304,"no"
"87","P01008",0.602723380039355,0.188186992329079,0.5,0.5,"no"
"88","B4DY08",0.552088665630798,0.141002280349381,0.345039656347644,0.111507240730333,"no"
"89","A0A0A0MR02",0.564186565083469,0.123373937038473,0.359105840953649,0.103818747531932,"no"
"90","P62249",0.832035959169125,0.104439671051148,0.448245500098419,0.132601683892141,"no"
"91","P04406",0.854060024823663,0.0493885944904506,0.481498322241037,0.0747604871273089,"no"
"92","P62701",0.833578068923387,0.103344266177362,0.579931627896443,0.137124909217194,"no"
"93","Q13148",0.701471616695933,0.135712670653216,0.344750824645413,0.130579782881038,"no"
"94","P23246",0.505496187064969,0.143762217718377,0.378840175045793,0.128313552227143,"no"
"95","A0A286YEY4",0.831852520714732,0.10670090510631,0.5,0.5,"no"
"96","P31151",0.861476353230227,0.0872100781998271,0.219684712020546,0.127375590229246,"no"
"98","P25311",0.915153735614294,0.0553597257586573,0.0968673791532416,0.064613914697777,"no"
"100","F8W6I7",0.702730790733754,0.12006947427721,0.254762857409934,0.0941618446961569,"no"
