"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance Ratio F1 Light  F1 Heavy"	"Abundance Ratio F2 Light  F2 Heavy"	"Abundance Ratio F3 Light  F3 Heavy"	"Abundance Ratio F4 Light  F4 Heavy"	"Abundance Ratio F5 Light  F5 Heavy"	"Abundance Ratio F6 Light  F6 Heavy"	"Abundance Ratio Adj P-Value F1 Light  F1 Heavy"	"Abundance Ratio Adj P-Value F2 Light  F2 Heavy"	"Abundance Ratio Adj P-Value F3 Light  F3 Heavy"	"Abundance Ratio Adj P-Value F4 Light  F4 Heavy"	"Abundance Ratio Adj P-Value F5 Light  F5 Heavy"	"Abundance Ratio Adj P-Value F6 Light  F6 Heavy"	"Abundance Ratio Variability in Percent F1 Light  F1 Heavy"	"Abundance Ratio Variability in Percent F2 Light  F2 Heavy"	"Abundance Ratio Variability in Percent F3 Light  F3 Heavy"	"Abundance Ratio Variability in Percent F4 Light  F4 Heavy"	"Abundance Ratio Variability in Percent F5 Light  F5 Heavy"	"Abundance Ratio Variability in Percent F6 Light  F6 Heavy"	"Abundances Grouped F1 Light"	"Abundances Grouped F1 Heavy"	"Abundances Grouped F2 Light"	"Abundances Grouped F2 Heavy"	"Abundances Grouped F3 Light"	"Abundances Grouped F3 Heavy"	"Abundances Grouped F4 Light"	"Abundances Grouped F4 Heavy"	"Abundances Grouped F5 Light"	"Abundances Grouped F5 Heavy"	"Abundances Grouped F6 Light"	"Abundances Grouped F6 Heavy"	"Abundances by Bio Rep F1 Light1"	"Abundances by Bio Rep F1 Heavy1"	"Abundances by Bio Rep F2 Light2"	"Abundances by Bio Rep F2 Heavy2"	"Abundances by Bio Rep F3 Light3"	"Abundances by Bio Rep F3 Heavy3"	"Abundances by Bio Rep F4 Light4"	"Abundances by Bio Rep F4 Heavy4"	"Abundances by Bio Rep F5 Light5"	"Abundances by Bio Rep F5 Heavy5"	"Abundances by Bio Rep F6 Light6"	"Abundances by Bio Rep F6 Heavy6"	"Abundances Scaled F1 Light Sample 1"	"Abundances Scaled F1 Heavy Control 1"	"Abundances Scaled F2 Light Sample 2"	"Abundances Scaled F2 Heavy Control 2"	"Abundances Scaled F3 Light Sample 3"	"Abundances Scaled F3 Heavy Control 3"	"Abundances Scaled F4 Light Sample 4"	"Abundances Scaled F4 Heavy Control 4"	"Abundances Scaled F5 Light Sample 5"	"Abundances Scaled F5 Heavy Control 5"	"Abundances Scaled F6 Light Sample 6"	"Abundances Scaled F6 Heavy Control 6"	"Abundances Normalized F1 Light Sample 1"	"Abundances Normalized F1 Heavy Control 1"	"Abundances Normalized F2 Light Sample 2"	"Abundances Normalized F2 Heavy Control 2"	"Abundances Normalized F3 Light Sample 3"	"Abundances Normalized F3 Heavy Control 3"	"Abundances Normalized F4 Light Sample 4"	"Abundances Normalized F4 Heavy Control 4"	"Abundances Normalized F5 Light Sample 5"	"Abundances Normalized F5 Heavy Control 5"	"Abundances Normalized F6 Light Sample 6"	"Abundances Normalized F6 Heavy Control 6"	"Abundance F1 Light Sample 1"	"Abundance F1 Heavy Control 1"	"Abundance F2 Light Sample 2"	"Abundance F2 Heavy Control 2"	"Abundance F3 Light Sample 3"	"Abundance F3 Heavy Control 3"	"Abundance F4 Light Sample 4"	"Abundance F4 Heavy Control 4"	"Abundance F5 Light Sample 5"	"Abundance F5 Heavy Control 5"	"Abundance F6 Light Sample 6"	"Abundance F6 Heavy Control 6"	"Found in Sample in S1 F1 Light Sample 1"	"Found in Sample in S7 F1 Heavy Control 1"	"Found in Sample in S2 F2 Light Sample 2"	"Found in Sample in S8 F2 Heavy Control 2"	"Found in Sample in S3 F3 Light Sample 3"	"Found in Sample in S9 F3 Heavy Control 3"	"Found in Sample in S4 F4 Light Sample 4"	"Found in Sample in S10 F4 Heavy Control 4"	"Found in Sample in S5 F5 Light Sample 5"	"Found in Sample in S11 F5 Heavy Control 5"	"Found in Sample in S6 F6 Light Sample 6"	"Found in Sample in S12 F6 Heavy Control 6"	"Number of Protein Groups"	"Modifications"
"-4567547795878987385"	"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"0.000"	"False"	"1501.646"	"55"	"94"	"1254"	"91"	"2647"	"280.6"	"6.06"	"4137.74"	"94"	"3"	"0.962"	"0.926"	"0.951"	"0.956"	"0.967"	"0.935"	"0.951379380760712"	"0.906345867024816"	"0.937799130594978"	"0.948015390556535"	"0.95628441720627"	"0.931563380199273"	"19.69"	"20.90"	"18.04"	"19.19"	"20.39"	"20.95"	"93.8"	"108.1"	"95.8"	"110.7"	"94.7"	"107.9"	"93.7"	"106.5"	"88.3"	"103.8"	"90.8"	"106.2"	"93.8"	"108.1"	"95.8"	"110.7"	"94.7"	"107.9"	"93.7"	"106.5"	"88.3"	"103.8"	"90.8"	"106.2"	"93.8"	"108.1"	"95.8"	"110.7"	"94.7"	"107.9"	"93.7"	"106.5"	"88.3"	"103.8"	"90.8"	"106.2"	"352149975.93648"	"405810406.691128"	"359565718.536306"	"415513722.750191"	"355561891.475952"	"405242292.210827"	"351716020.596737"	"399863160.84375"	"331444690.99481"	"389720933.673658"	"341021892.295561"	"398623277.346662"	"250431883.21875"	"336729470.4375"	"263450944.287109"	"354156411.375"	"285096878.398438"	"381153845.1875"	"300898854.9375"	"399863160.84375"	"278995447.375"	"383621799.0625"	"289990210.75"	"395524616.875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"5619484675981056092"	"False"	"High"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	"0.000"	"False"	"1421.324"	"81"	"47"	"3967"	"47"	"573"	"61.0"	"5.87"	"10340.61"	"47"	"0"	"1.443"	"1.434"	"1.460"	"1.464"	"1.458"	"1.433"	"0.449954351264064"	"0.468467886585513"	"0.481989190698521"	"0.397215333354365"	"0.442330387475443"	"0.52283730671595"	"14.23"	"13.34"	"14.69"	"13.73"	"14.91"	"17.65"	"118.4"	"84.0"	"118.4"	"84.0"	"116.0"	"81.7"	"119.0"	"83.6"	"115.2"	"81.3"	"116.2"	"82.3"	"118.4"	"84.0"	"118.4"	"84.0"	"116.0"	"81.7"	"119.0"	"83.6"	"115.2"	"81.3"	"116.2"	"82.3"	"118.4"	"84.0"	"118.4"	"84.0"	"116.0"	"81.7"	"119.0"	"83.6"	"115.2"	"81.3"	"116.2"	"82.3"	"1602824844.81839"	"1136518067.93535"	"1602919591.54869"	"1136935486.6025"	"1569869453.17538"	"1105103042.91111"	"1610329285.90418"	"1131666155.47266"	"1559175085.50702"	"1100590866.80703"	"1572019728.4361"	"1113250696.11628"	"1139850835.68506"	"943049071.311279"	"1174446445.36426"	"969048601.415527"	"1258753795.95801"	"1039413413.23486"	"1377663256.22241"	"1131666155.47266"	"1312444466.10791"	"1083366614.09576"	"1336777323.24951"	"1104596946.7666"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2962281166201317424"	"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"False"	"1414.377"	"51"	"90"	"1280"	"76"	"1960"	"226.4"	"5.60"	"4363.78"	"90"	"15"	"0.771"	"0.757"	"0.766"	"0.744"	"0.795"	"0.742"	"0.569108930867338"	"0.54497481210263"	"0.613149264797089"	"0.490166560665205"	"0.672087358937512"	"0.504159375287118"	"23.52"	"18.18"	"19.41"	"22.50"	"22.61"	"23.23"	"84.0"	"114.9"	"84.0"	"112.6"	"87.8"	"118.0"	"85.1"	"115.9"	"83.4"	"112.8"	"84.7"	"117.0"	"84.0"	"114.9"	"84.0"	"112.6"	"87.8"	"118.0"	"85.1"	"115.9"	"83.4"	"112.8"	"84.7"	"117.0"	"84.0"	"114.9"	"84.0"	"112.6"	"87.8"	"118.0"	"85.1"	"115.9"	"83.4"	"112.8"	"84.7"	"117.0"	"295515686.95069"	"404259546.581788"	"295512321.705578"	"396108411.224937"	"308965765.760397"	"415109557.877663"	"299494565.595034"	"407872156.783203"	"293399245.103309"	"396952993.471991"	"298007696.106617"	"411806770.273342"	"210156339.800781"	"335442612.597656"	"216519529.5"	"337616607.476563"	"247735141.087891"	"390434580.003906"	"256222539.123047"	"407872156.783203"	"246970477.642578"	"390740677.087891"	"253412805.897461"	"408605629.162109"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6252367434931231115"	"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"False"	"1393.397"	"55"	"93"	"1432"	"92"	"2511"	"273.3"	"6.44"	"4638.01"	"93"	"1"	"0.815"	"0.799"	"0.799"	"0.808"	"0.814"	"0.790"	"0.703688156202646"	"0.677313791219916"	"0.699082567335369"	"0.699969713489714"	"0.720725093648037"	"0.659051524188693"	"18.79"	"13.26"	"15.87"	"14.48"	"15.38"	"16.45"	"90.0"	"107.6"	"91.1"	"107.2"	"94.9"	"113.3"	"93.2"	"107.1"	"89.4"	"107.1"	"92.1"	"107.2"	"90.0"	"107.6"	"91.1"	"107.2"	"94.9"	"113.3"	"93.2"	"107.1"	"89.4"	"107.1"	"92.1"	"107.2"	"90.0"	"107.6"	"91.1"	"107.2"	"94.9"	"113.3"	"93.2"	"107.1"	"89.4"	"107.1"	"92.1"	"107.2"	"319340628.685258"	"381615425.362029"	"323152170.155854"	"380261382.63679"	"336614049.614331"	"402112994.153117"	"330681679.829988"	"379877703.46875"	"317051834.270909"	"379940406.077545"	"326852361.159805"	"380409596.796069"	"227099476.060547"	"316653190.6875"	"236771026.789063"	"324109648.576172"	"269904106.910156"	"378210559.132813"	"282903629.583984"	"379877703.46875"	"266880178.644531"	"373994336.773438"	"277941056.683594"	"377452518.65332"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-7065009906831580898"	"False"	"High"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5"	"0.000"	"False"	"1337.546"	"74"	"58"	"2550"	"38"	"732"	"84.6"	"5.02"	"6670.81"	"58"	"21"	"1.007"	"0.992"	"0.986"	"0.973"	"1.011"	"0.969"	"0.980185351872038"	"0.976640749508599"	"0.971881725203386"	"0.963451068779446"	"0.989255373423114"	"0.96405715183196"	"12.57"	"15.47"	"15.96"	"11.63"	"15.03"	"15.47"	"103.5"	"101.9"	"100.9"	"102.4"	"100.1"	"101.2"	"99.9"	"102.1"	"95.9"	"96.7"	"97.0"	"98.5"	"103.5"	"101.9"	"100.9"	"102.4"	"100.1"	"101.2"	"99.9"	"102.1"	"95.9"	"96.7"	"97.0"	"98.5"	"103.5"	"101.9"	"100.9"	"102.4"	"100.1"	"101.2"	"99.9"	"102.1"	"95.9"	"96.7"	"97.0"	"98.5"	"1788917438.30731"	"1762346262.14939"	"1744187207.38264"	"1770533624.88347"	"1729867070.96613"	"1748557268.25132"	"1726662862.87557"	"1764962163.17859"	"1658321582.95605"	"1670961050.39776"	"1676014850.47487"	"1702420914.83996"	"1272190809.63098"	"1462342793.07861"	"1277952104.74731"	"1509085742.48096"	"1387043195.01025"	"1644619377.43115"	"1477188549.5033"	"1764962163.17859"	"1395901592.32837"	"1644810501.38745"	"1425210259.78033"	"1689187306.33105"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"5927523368410573672"	"False"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	"0.000"	"False"	"1301.920"	"37"	"120"	"1342"	"120"	"4128"	"468.8"	"7.12"	"3639.31"	"120"	"0"	"1.066"	"1.066"	"1.094"	"1.082"	"1.112"	"1.082"	"0.972917395336095"	"0.976301127917962"	"0.962922570825055"	"0.96258987819029"	"0.945836150524096"	"0.971593766314022"	"19.54"	"16.45"	"21.06"	"19.07"	"19.59"	"19.75"	"101.7"	"96.4"	"97.1"	"92.9"	"109.3"	"98.3"	"104.7"	"98.1"	"101.9"	"96.2"	"106.0"	"97.3"	"101.7"	"96.4"	"97.1"	"92.9"	"109.3"	"98.3"	"104.7"	"98.1"	"101.9"	"96.2"	"106.0"	"97.3"	"101.7"	"96.4"	"97.1"	"92.9"	"109.3"	"98.3"	"104.7"	"98.1"	"101.9"	"96.2"	"106.0"	"97.3"	"312192978.482465"	"295882634.708221"	"297907367.939629"	"284979943.266556"	"335534709.955843"	"301701498.779223"	"321221928.745394"	"301115599.083008"	"312763425.987623"	"295221111.11329"	"325139164.657819"	"298648349.151465"	"222016415.935059"	"245514657.224609"	"218274360.84082"	"242898052.447266"	"269038670.048828"	"283767732.462402"	"274810656.552734"	"301115599.083008"	"263270386.664063"	"290600899.209961"	"276484228.761719"	"296326834.360352"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2220837361715177214"	"False"	"High"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4"	"0.000"	"False"	"1265.253"	"73"	"56"	"2471"	"31"	"724"	"83.2"	"5.03"	"5940.53"	"56"	"7"	"0.812"	"0.875"	"0.833"	"0.837"	"0.852"	"0.831"	"0.696922917562737"	"0.833132539686072"	"0.782207757619393"	"0.761135005955813"	"0.801711703108165"	"0.764278789818939"	"17.58"	"21.96"	"16.25"	"19.40"	"16.57"	"17.88"	"95.3"	"111.0"	"93.6"	"108.3"	"93.8"	"105.9"	"95.1"	"107.6"	"89.4"	"103.8"	"92.3"	"103.9"	"95.3"	"111.0"	"93.6"	"108.3"	"93.8"	"105.9"	"95.1"	"107.6"	"89.4"	"103.8"	"92.3"	"103.9"	"95.3"	"111.0"	"93.6"	"108.3"	"93.8"	"105.9"	"95.1"	"107.6"	"89.4"	"103.8"	"92.3"	"103.9"	"631652306.10171"	"735909324.116341"	"620330317.001838"	"717926116.528087"	"621664396.950557"	"701962929.317433"	"630324174.695652"	"712996910.578613"	"592631794.557944"	"687664517.306638"	"611691247.65595"	"688390841.692249"	"449200304.886719"	"610635786.844971"	"454511093.130127"	"611912731.495605"	"498463370.881348"	"660236788.783203"	"539252724.637207"	"712996910.578613"	"498851172.287842"	"676902564.083252"	"520155678.650513"	"683039700.373047"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"-1039523901046503215"	"False"	"High"	"IsMasterProtein"	"P42704"	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"	"0.000"	"False"	"1187.711"	"64"	"70"	"1284"	"70"	"1394"	"157.8"	"6.13"	"3902.08"	"70"	"0"	"1.272"	"1.213"	"1.275"	"1.241"	"1.241"	"1.221"	"0.757546494082289"	"0.828224552033438"	"0.792858313571026"	"0.787151661914579"	"0.801711703108165"	"0.847756663392927"	"17.11"	"16.80"	"12.25"	"14.22"	"13.32"	"17.69"	"112.4"	"85.3"	"108.0"	"81.3"	"116.5"	"88.1"	"115.4"	"88.9"	"113.2"	"85.1"	"118.7"	"87.1"	"112.4"	"85.3"	"108.0"	"81.3"	"116.5"	"88.1"	"115.4"	"88.9"	"113.2"	"85.1"	"118.7"	"87.1"	"112.4"	"85.3"	"108.0"	"81.3"	"116.5"	"88.1"	"115.4"	"88.9"	"113.2"	"85.1"	"118.7"	"87.1"	"335740763.050416"	"254754223.705366"	"322650769.214408"	"242749896.178553"	"348083924.316496"	"263128555.326992"	"344801338.149636"	"265442603.480469"	"338007627.86652"	"254234463.941699"	"354524420.340552"	"260039777.582131"	"238762451.539063"	"211387518.470703"	"236403654.304199"	"206903953.792969"	"279100889.668945"	"247487645.216797"	"294983230.090332"	"265442603.480469"	"284519836.6875"	"250255693.276855"	"301472174.3479"	"258018382.882813"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"5561612098835552022"	"False"	"High"	"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2"	"0.000"	"False"	"1099.787"	"70"	"44"	"1494"	"44"	"679"	"73.6"	"6.16"	"4503.34"	"44"	"0"	"1.398"	"1.368"	"1.400"	"1.423"	"1.413"	"1.367"	"0.529941232334607"	"0.595677711998203"	"0.604809445274863"	"0.474604796378842"	"0.519444341429741"	"0.63959686912298"	"11.00"	"12.49"	"17.00"	"14.73"	"11.90"	"10.89"	"123.4"	"86.6"	"122.9"	"88.2"	"114.2"	"80.2"	"114.7"	"80.6"	"114.0"	"80.4"	"113.1"	"81.6"	"123.4"	"86.6"	"122.9"	"88.2"	"114.2"	"80.2"	"114.7"	"80.6"	"114.0"	"80.4"	"113.1"	"81.6"	"123.4"	"86.6"	"122.9"	"88.2"	"114.2"	"80.2"	"114.7"	"80.6"	"114.0"	"80.4"	"113.1"	"81.6"	"853201713.800543"	"598908478.417165"	"850084683.936121"	"609681903.773121"	"790085811.459611"	"554939261.602074"	"793558785.814015"	"557566658.839844"	"788488290.340072"	"555828328.375882"	"782219693.521133"	"564264862.834167"	"606755435.334961"	"496956537.961426"	"622850291.787109"	"519652524.810547"	"633507144.365234"	"521952514.509766"	"678902625.964844"	"557566658.839844"	"663714487.787109"	"547129612.185547"	"665165665.025391"	"559878603.111328"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2305783293341844831"	"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5"	"0.000"	"False"	"1060.895"	"34"	"106"	"800"	"106"	"4646"	"532.1"	"6.40"	"2185.40"	"106"	"0"	"0.812"	"0.846"	"0.808"	"0.817"	"0.765"	"0.793"	"0.695986326847818"	"0.786576952396585"	"0.718257053126575"	"0.714617736472915"	"0.572207693135963"	"0.669138015610959"	"23.81"	"27.40"	"24.40"	"24.57"	"21.67"	"22.02"	"82.3"	"122.6"	"81.4"	"110.8"	"84.2"	"114.7"	"86.3"	"127.5"	"80.4"	"113.2"	"83.5"	"112.9"	"82.3"	"122.6"	"81.4"	"110.8"	"84.2"	"114.7"	"86.3"	"127.5"	"80.4"	"113.2"	"83.5"	"112.9"	"82.3"	"122.6"	"81.4"	"110.8"	"84.2"	"114.7"	"86.3"	"127.5"	"80.4"	"113.2"	"83.5"	"112.9"	"151838876.684246"	"226263447.551263"	"150124418.796564"	"204380219.346848"	"155414270.399774"	"211639106.519361"	"159243138.8479"	"235207213.507813"	"148396156.562516"	"208880063.098046"	"154106368.243997"	"208261135.004114"	"107980401.625"	"187746715.256836"	"109994968.523438"	"174200179.384766"	"124614376.320313"	"199058836.632813"	"136235130.986328"	"235207213.507813"	"124913305.941406"	"205611089.039063"	"131045364.578125"	"206642236.702148"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
