"Accession","Description","Sample.a.buffer16","Sample.b.buffer16","Sample.c.buffer16","Sample.d.buffer16","Control.a.buffer16","Control.b.buffer16","Control.c.buffer16","Control.d.buffer16","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",12510546.9433594,12634556.0449219,15892969.8476563,13523999.6601563,2695064504.66406,2959428293.05908,3267307256.22852,2846686635.17383,0.00462057254366124,0.00425110661732166,0.00484069467388236,0.0047283229757452,0.00467444775970322,13079277.8525391,2903057464.11646,27.4906627576406
"2","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",71915075.3156738,93095348.3571777,134362658.777344,215588158.805664,38042064.0209961,31564709.9750977,44182248.1982422,47279003.840332,0.654028249093332,0.746793717270984,0.752542657493537,0.820141080519811,0.749668187382261,113729003.567261,41112156.1096192,6.48186249300631
"3","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",23741107.5742188,11654125.9052734,12094772.4902344,30814163.0400391,1228841583.56787,926798890.486816,2287798573.5874,2061304229.97363,0.0189537247657254,0.0124184436532348,0.00525884059400472,0.0147286898977317,0.0135735667754832,17917940.0322266,1645072906.77075,26.4707121136138
"4","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",10136645435.6436,10759955404.0396,12019132478.049,13015451137.5145,3387014895.52307,1904739218.02368,4784905931.72791,5297882176.72028,0.74954895253341,0.849602436153066,0.715252618742887,0.710709018079069,0.732400785638148,11389543941.0443,4085960413.62549,7.3235758198883
"5","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",34967003.9570313,19004409.4394531,52066945.2558594,39103586.5771484,1083910364.70996,497849683.574219,1551711435.48926,1881170533.06641,0.0312518645351548,0.0367693894589133,0.0324651746656349,0.020363544025895,0.0318585196003949,37035295.2670899,1317810900.09961,24.3763246462142
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",724516.000244141,1325638.25024414,1140240.05566406,2391644.86035156,2224588.44140625,5966268.84375,3606750.671875,2734090.4296875,0.245673225407603,0.181795822842557,0.240202713910753,0.466595468751437,0.242937969659178,1232939.1529541,3170420.55078125,3.33151536380464
"7","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",369837.65234375,681590.25390625,2089599.81933594,6153968.96484375,2743704800.35742,3023609070.31836,3420104565.63086,2874030756.94922,0.000134776819559102,0.000225371940201435,0.000610602355772835,0.00213665773221914,0.000417987147987135,1385595.0366211,2948819913.63379,27.971745876521
"8","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",8308793.9375,6472475.09375,8938161.31445313,16648713.9228516,87585363.3378906,63804499.128418,93779175.1503906,87668628.0039063,0.086645465934266,0.0920995128971893,0.087017066661501,0.159596799682078,0.0895582897793451,8623477.62597657,87626995.6708984,16.1499655198897
"9","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",19168440.2924805,16374267.9697266,27214412.2382813,57425442.1542969,2490281481.1499,1065559246.78491,3459366103.13184,3750194968.16211,0.00763850281637136,0.0151342644870743,0.00780547362044565,0.0150817140276662,0.0114435938240559,23191426.2653809,2974823792.14087,26.6460666416224
"10","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",1848654.41796875,1841505.8515625,3557989.0234375,6422539.1796875,74324772.2929688,86880547.6210938,90679146.7578125,95158081.6445313,0.0242690200216936,0.0207558975416416,0.0377556999577805,0.063226028031483,0.0310123599897371,2703321.72070312,88779847.1894532,23.6369442692285
