"Accession","Description","Control.a.buffer19","Control.b.buffer19","Control.c.buffer19","Control.d.buffer19","Sample.a.buffer19","Sample.b.buffer19","Sample.c.buffer19","Sample.d.buffer19","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",12665313.3085938,19870792.9375,22974594.9003906,26733928.6484375,2423328344.2168,3351591458.75977,3154934762.35547,3290015503.54883,0.994800760966899,0.994106179617613,0.992770531718303,0.991939720140171,0.993438355667958,3222475132.95215,21422693.9189453,31.0551070746059
"2","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",264869528.076172,758588439.632568,842770951.811401,931161776.052368,31874452.7285156,76359615.3273926,77182318.920166,83476850.9931641,0.107413982390075,0.0914543304505984,0.0838980863221334,0.0822724946281964,0.0876762083863659,76770967.1237793,800679695.721985,17.2455772751291
"3","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",4213507.78515625,10445802.4790039,24739518.421875,19693925.7617188,612592619.736328,1174705273.03027,951639181.70166,1098343825.29932,0.993168829560615,0.991186100493968,0.974661964237089,0.982385276576727,0.986785688535348,1024991503.50049,15069864.1203614,30.0042114031612
"4","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",9822397485.18945,11869940583.0218,12272564888.7987,12703401867.558,1136622009.66711,2746063763.50684,2227788822.47668,2512515254.45361,0.103715666369657,0.18788060665561,0.153636860647362,0.165124141667344,0.159380501157353,2370152038.46515,12071252735.9102,11.6187483252769
"5","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",17937526.8583984,25247665.2890625,47973194.7539063,32327272.1396484,314183165.224609,747477464.53418,581260168.758789,621536127.539063,0.945990938577488,0.967326460193112,0.923759295778444,0.950559593707901,0.948275266142695,601398148.148926,28787468.7143555,25.2186378615772
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",17110478.7675781,48190498.1835938,50148429.359375,61232546.3789063,4879126.52636719,5948762.15063477,5673409.35058594,8021643.3046875,0.221883315373134,0.109878895904933,0.101634225631009,0.115828996647517,0.112853946276225,5811085.75061036,49169463.7714844,12.9197042902317
"7","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",7618907.3671875,14018949.4257813,13649107.6054688,15104320.2207031,2489983959.5625,3455146601.94531,3223837374.83203,3378841008.48145,0.996949512082938,0.995958985174334,0.995784041823955,0.99554962771705,0.995871513499144,3301339191.65674,13834028.5156251,31.4052627829145
"8","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",6326805.94921875,13761290.9208984,14188074.9082031,14953101.5390625,34637141.1367188,80682017.4619141,60921738.0742188,84956204.300293,0.845551847434383,0.854290461055018,0.811102246899169,0.850333245602711,0.847942546518547,70801877.7680665,13974682.9145508,13.995867871931
"9","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",17602227.8251953,27285075.3945313,34488778.5957031,19783931.7368164,781224768.382813,1915955719.11865,1515705419.64844,1600309733.82031,0.977964906157713,0.985958983842058,0.977751962538134,0.987788402511892,0.981961944999886,1558007576.73438,23534503.5656739,29.619234636527
"10","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",5371187.70703125,15239686.8398438,18695800.9960938,18305488.2578125,65175244.7421875,100030396.207031,106823198.576172,116014558.923828,0.9238630853389,0.867791482082592,0.851052023519914,0.863717377696733,0.865754429889663,103426797.391602,16772587.5488282,17.4710275302388
"11","H0YFD6","Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",5056702.65625,11981460.3789063,16908075.9580078,18226837.890625,141388813.894531,296671438.1875,289764655.080078,334001195.142578,0.965470416743714,0.961181442213709,0.944866059982659,0.948252733509979,0.954717087861844,293218046.633789,14444768.168457,26.1875768296375
"12","P02533","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",3304055.7578125,7001191.31616211,6547869.76416016,5977940.90136719,123247559.734375,289689535.293945,171125122.695313,219264271.800781,0.973891635085318,0.97640239249755,0.96314651048806,0.973459944165652,0.973675789625485,195194697.248047,6262905.33276368,28.264680352955
"13","P08727","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",1753618.08203125,4913223.40576172,7247993.32617188,5690495.65429688,63245804.5410156,147351344.476563,120496565.240234,120017615.179688,0.973021020629659,0.967732326212893,0.9432618233801,0.954732470191904,0.961232398202398,120257090.209961,5301859.5300293,26.7670545654158
"14","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",197453.1796875,1208826.3828125,1500294.921875,1259698.828125,1426396.2734375,11969271.03125,5205381.21875,4887262.671875,0.878404257668398,0.908270037409,0.776264929827767,0.795069673345929,0.836736965507163,5046321.9453125,1234262.60546875,13.9156184561865
"15","P08779","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",1855932.1796875,2266887.8359375,1473230.61230469,2177559.21386719,14776847.8085938,72029635.9453125,55464343.2539063,94125919.3476563,0.888417198989279,0.969488641990682,0.974125511287741,0.977388571561555,0.971807076639212,63746989.5996094,2016745.69677734,25.8687858621311
"16","P13647","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",1441074.19726563,5466001.88671875,2917024.69140625,3216244.05859375,89939753.9375,178840593.269531,103311010.796875,144942215.960938,0.984230016003572,0.970342885005906,0.972539973294262,0.978291863602188,0.975415918448225,124126613.378907,3066634.375,28.8499601304959
"17","P14923","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",11257560.9140625,22053912.7421875,24526808.5605469,29622939.1953125,10166766.2578125,25879210.8945313,11550932.9589844,13615972.5009766,0.474543082555191,0.539902450144241,0.32016785066025,0.314900906771554,0.39735546660772,12583452.7299805,23290360.6513672,-0.404182198492445
"18","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",11139380.4140625,27363476.7890625,26194586.9296875,29192949.609375,10898030.9023438,24710590.3359375,29831016.1328125,29541946.875,0.494524095678628,0.474527758252904,0.532453280324964,0.502970953270666,0.498747524474647,27126268.6054688,26779031.859375,-0.819482564872328
"19","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",135152859.390625,362618575.032227,342712870.284607,378688102.828369,3639691.19921875,5517225.8984375,12642078.5195313,15271701.6171875,0.0262239665151387,0.0149869311392418,0.0355759179999467,0.0387646187373869,0.0308999422575427,9079652.2089844,352665722.658417,24.0148233347718
"20","P35658","Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2",4584452.8828125,13050360.1796875,11874439.328125,8535425.625,6612921.92578125,18597206.65625,15296957.8125,10560711.015625,0.59057788444359,0.587634643530696,0.562980171145816,0.553028668278285,0.575307407338256,12928834.4140625,10204932.4765625,-0.0983257292782316
"21","P02538","Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",5300620.125,15000546.1640625,7582401,8964195.2265625,19598153.4257813,42893411.015625,26971719.40625,48435610.0078125,0.787113204022305,0.740896167841753,0.780564490982426,0.843828821544605,0.783838847502366,34932565.2109375,8273298.11328125,9.6337994742176
"22","P04259","Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",188481.4296875,1953206.0234375,2326305.7578125,2430821.1328125,36171648.9628906,83962574.90625,45106818.34375,72160204.4492188,0.994816260897514,0.977266038877817,0.9509560923537,0.96741134588451,0.972338692381163,58633511.3964844,2139755.890625,28.3755534204552
"23","P08729","Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5",1460623.15820313,7252137.0546875,6180375.27734375,6923306.87109375,18349748.3984375,34032961.765625,65904117.0625,69101625.765625,0.926269774697208,0.824340082453202,0.914262068348817,0.908933732251018,0.911597900299917,49968539.4140625,6551841.07421875,19.2041803284343
"24","P55084","Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",5249748.07421875,10291500.5859375,16708315.2070313,16910859.7695313,6563793.578125,13994891.8125,23721468.0507813,23147384.3710938,0.555616069362465,0.576244161047171,0.586732506071434,0.577843209748149,0.57704368539766,18571138.0917969,13499907.8964844,-0.0887866654225209
"25","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",4412204.8359375,9025006.96875,9767687.70703125,15825534.7363281,4444779.859375,9740914.359375,10502595.6386719,15806232.7265625,0.501838945451421,0.519074666735175,0.5181277172871,0.499694895174791,0.509983331369261,10121754.9990234,9396347.33789062,-0.785342043074893
"26","P11021","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",7116377.0703125,19682714.28125,15771584.9570313,17930999.109375,4851866.703125,9595742.38085938,10394580.1777344,10490364.0625,0.405395043330694,0.327740717060325,0.397252716406793,0.369101369243294,0.383177042825044,9995161.27929689,16851292.0332032,0.228414674843029
"27","P68371","Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1",819538.28125,3423942.28125,2689371.3125,2877727.96875,790571.859375,2310711.21875,1729384.875,1792746.875,0.491004832171371,0.402938245309852,0.391373681103332,0.383846811079401,0.397155963206592,1761065.875,2783549.640625,-0.464836107986618
"28","Q14157","Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2",9863548.87109375,22258730.4521484,20426289.6704102,14258916.21875,9117019.71484375,18059970.2080078,16762036.215332,11158578.359375,0.480334383744355,0.447930362643235,0.450733820791822,0.439011733633982,0.449332091717528,13960307.2873535,17342602.9445801,-0.778436341162015
"29","P68363","Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1",4690428.00976563,13210722.2226563,16897817.6601563,20655046.359375,5525186.19140625,12977524.890625,16236971.9453125,18868840.0078125,0.540856974686107,0.495547671995331,0.490027917443986,0.477403457557688,0.492787794719658,14607248.4179688,15054269.9414063,-0.819996822176469
"30","Q01085","Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1",11043343.9414063,37731750.65625,40359206.9179688,27632478.6601563,15827653.3828125,61066028.4453125,45704892.6328125,33219017.0957031,0.589023667109931,0.618091104887465,0.531056420404942,0.545903049433332,0.567463358271631,39461954.8642578,32682114.6582031,-0.141225677897977
"31","P56945","Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2",2224253.42382813,7513066.98828125,8066514.12304688,9103479.70507813,5443240.52539063,15113634.8027344,17103839.6303711,18074935.40625,0.709911290630394,0.667955716318122,0.679523212026708,0.665047440485823,0.673739464172415,16108737.2165527,7789790.55566406,3.13651778700538
"32","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",3143485.8046875,8901780.6640625,16910295.171875,19093265.796875,7152724.5546875,16514870.3046875,13926820.9042969,17047898.2265625,0.694694873650744,0.64976579034715,0.451625270984996,0.471703075626091,0.560734432986621,15220845.6044922,12906037.9179688,-0.207985976238741
"33","Q9BUJ2","Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2",2125687.66210938,9115167.9765625,11400893.9628906,17611465.0703125,4638054.38671875,14994480.8984375,18736627.6132813,18392155.203125,0.685723132732764,0.621928630158763,0.621704328470571,0.510841828222876,0.621816479314667,16693318.0507812,10258030.9697266,0.676320073354156
"34","Q04695","Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",88459.2421875,472306.953125,303825.328125,360343.30078125,10097712.1523438,24666219.1171875,11190176.859375,13222490.265625,0.99131575164394,0.981211827940749,0.973566619949367,0.973470682754115,0.977389223945058,12206333.5625,332084.314453125,29.3014612278741
"35","Q99569","Plakophilin-4 OS=Homo sapiens OX=9606 GN=PKP4 PE=1 SV=2",3792570.08398438,11447151.9570313,12905122.3984375,14142362.3740234,2719441.88671875,1006183.25,1137780.56054688,1517285.5,0.417603944672282,0.0807962873617902,0.0810217491262339,0.0968914187730179,0.0889565839496259,1327533.03027344,12176137.1777344,10.2524481195532
"36","F8W8I6","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=1",2717859.4375,8589401.46777344,11200641.3632813,8392771.88867188,2469750.0703125,10038383.9536133,11476477.453125,7553451.5234375,0.476086348942239,0.538893042115899,0.506081815156433,0.473682785461384,0.491084082049336,8795917.7385254,8491086.67822266,-0.826804652238716
"37","P19474","E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1",3324446.22851563,9765830.15625,11515950.7265625,12175454.1503906,2453466.6015625,10465348.1640625,18928127.9101563,17932040.328125,0.424628524817901,0.517288118287954,0.62173429966532,0.595600551913116,0.556444335100535,14198694.2460938,10640890.4414062,-0.559608206905859
"38","C9JJX6","Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1",1341422.2890625,4083857.71875,6357326.54101563,9802006.94921875,2281097.93359375,8117228.046875,9062908.125,13719194.4375,0.629699157875539,0.665287352519417,0.587728288271357,0.583269290200735,0.608713723073448,8590068.0859375,5220592.12988281,0.846741526902846
