"Accession","Gene","median.x","median.y","group"
"1","A0A2R8YCH5","CTNNB1",0.800042776508817,0.828840601218163,"strong"
"2","Q02413","DSG1",0.263036984260446,0.745883784981507,"noise"
"3","P12830","CDH1",0.881882012280035,0.891414996392792,"strong"
"4","P42704","LRPPRC",0.431681540736618,0.507844170986322,"noise"
"5","P04406","GAPDH",0.524689552807083,0.565164474729163,"noise"
"6","P06732","CKM",0.613660922865373,0.34843510917587,"weak"
"7","A0A669KB05","CTNND1",0.503583537082568,0.600587354206992,"noise"
"8","P22626","HNRNPA2B1",0.495602056332383,0.55024816482225,"noise"
"9","Q96P63","SERPINB12",0.241234520778711,0.671181147899323,"noise"
"10","P15924","DSP",0.25074377404027,0.615046084001508,"noise"
"11","Q15637","SF1",0.540640220761493,0.5207907211467,"noise"
"12","P14923","JUP",0.692655747009524,0.794010612591415,"strong"
"13","P11142","HSPA8",0.517995926336489,0.523161599835318,"noise"
"14","P10809","HSPD1",0.545324211881126,0.659304586659848,"weak"
"15","P05141","SLC25A5",0.436941767173314,0.519827068328339,"noise"
"16","E9PDC3","ARVCF",0.784843604161573,0.873150052679338,"strong"
"17","P21796","VDAC1",0.431962953995081,0.630593473813794,"weak"
"18","P19474","TRIM21",0.461019254983848,0.236329390119252,"noise"
"19","P25311","AZGP1",0.23912713235433,0.783580062125044,"noise"
"20","P11021","HSPA5",0.566439594310772,0.660337732841655,"weak"
"21","Q5T9A4","ATAD3B",0.50862339584509,0.657504365188539,"weak"
"22","Q99569","PKP4",0.681764430586316,0.785069647994079,"strong"
"23","P08238","HSP90AB1",0.515591078190694,0.558633612813231,"noise"
"24","F5GZS6","SLC3A2",0.751826961292855,0.830075200434116,"strong"
"25","O60232","ZNRD2",0.492670220369276,0.418700353002514,"noise"
"26","P07355","ANXA2",0.33213170399632,0.69978064035335,"weak"
"27","P05109","S100A8",0.356080223242699,0.630519595069132,"weak"
"28","P04083","ANXA1",0.583565839828656,0.703518394936329,"strong"
"29","Q9GZT3","SLIRP",0.427069299991578,0.546485739378001,"noise"
"30","Q6P2Q9","PRPF8",0.52460292905768,0.627768532059575,"weak"
"31","P25705","ATP5F1A",0.412170489690125,0.478532643148328,"noise"
"32","Q5T5P2","KIAA1217",0.771408039092965,0.771701542179521,"strong"
"33","P56945","BCAR1",0.362117310359717,0.283669750146843,"noise"
"34","P62805","H4C1",0.430098065156636,0.556026238714692,"noise"
"35","J3QTR3","RPS27A",0.472098295784386,0.646629830302304,"weak"
"36","P02545","LMNA",0.427260889595401,0.601054277879469,"noise"
"37","H0YFD6","HADHA",0.400321411365447,0.50949690318332,"noise"
"38","F8W6I7","HNRNPA1",0.391289649754375,0.597867670075525,"noise"
"39","P17302","GJA1",0.367881597118355,0.583653399124361,"noise"
"40","Q14157","UBAP2L",0.533586265343047,0.409521333508188,"noise"
"41","Q99623","PHB2",0.394419554215619,0.580574494285111,"noise"
"42","Q96S66","CLCC1",0.764138959756533,0.5068055669098,"weak"
"43","P06576","ATP5F1B",0.35047867949959,0.592330778955902,"noise"
"44","Q16777","H2AC20",0.389708176573289,0.583055187831475,"noise"
"45","P55084","HADHB",0.437453704175127,0.507867838572181,"noise"
"46","O75629","CREG1",0.49366576962941,0.507246223609605,"noise"
"47","A0A0G2JIW1","HSPA1B",0.549091421794865,0.555738235454955,"noise"
"48","P30101","PDIA3",0.408558155810975,0.662280239255613,"weak"
"49","P31942","HNRNPH3",0.502406689600862,0.570572633039213,"noise"
"50","P78406","RAE1",0.546399691685196,0.526367448301766,"noise"
"51","P04792","HSPB1",0.515527149877992,0.55654594205835,"noise"
"52","P38646","HSPA9",0.45393987601854,0.688175008960926,"weak"
"53","Q06830","PRDX1",0.545729738551864,0.504273639880394,"noise"
"54","P08670","VIM",0.455771571925074,0.572324023690605,"noise"
"55","P12236","SLC25A6",0.444386213190338,0.572676024566663,"noise"
"56","P31943","HNRNPH1",0.415779189087085,0.483134047721201,"noise"
"57","Q01469","FABP5",0.453976897238439,0.420673684320285,"noise"
"58","A0A087X0X3","HNRNPM",0.505152510495039,0.511258469357618,"noise"
"59","O43278","SPINT1",0.535180651595644,0.710015860410197,"weak"
