"Proteins Unique Sequence ID"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Contaminant"	"Coverage in Percent"	"Number of Unique Peptides"	"MW in kDa"	"Abundances Grouped buffer16 Control"	"Abundances Grouped buffer16 Sample"	"Abundances Grouped buffer19 Control"	"Abundances Grouped buffer19 Sample"	"Abundances Grouped buffer2 Control"	"Abundances Grouped buffer2 Sample"	"Abundances Grouped buffer25 Control"	"Abundances Grouped buffer25 Sample"	"Abundances Grouped buffer29 Control"	"Abundances Grouped buffer29 Sample"	"Abundances Grouped buffer3 Control"	"Abundances Grouped buffer3 Sample"	"Abundance F9 Heavy Control a buffer16"	"Abundance F10 Heavy Control b buffer16"	"Abundance F11 Heavy Control c buffer16"	"Abundance F12 Heavy Control d buffer16"	"Abundance F9 Light Sample a buffer16"	"Abundance F10 Light Sample b buffer16"	"Abundance F11 Light Sample c buffer16"	"Abundance F12 Light Sample d buffer16"	"Abundance F13 Heavy Control a buffer19"	"Abundance F14 Heavy Control b buffer19"	"Abundance F15 Heavy Control c buffer19"	"Abundance F16 Heavy Control d buffer19"	"Abundance F13 Light Sample a buffer19"	"Abundance F14 Light Sample b buffer19"	"Abundance F15 Light Sample c buffer19"	"Abundance F16 Light Sample d buffer19"	"Abundance F1 Heavy Control a buffer2"	"Abundance F2 Heavy Control b buffer2"	"Abundance F3 Heavy Control c buffer2"	"Abundance F4 Heavy Control d buffer2"	"Abundance F1 Light Sample a buffer2"	"Abundance F2 Light Sample b buffer2"	"Abundance F3 Light Sample c buffer2"	"Abundance F4 Light Sample d buffer2"	"Abundance F17 Heavy Control a buffer25"	"Abundance F18 Heavy Control b buffer25"	"Abundance F19 Heavy Control c buffer25"	"Abundance F20 Heavy Control d buffer25"	"Abundance F17 Light Sample a buffer25"	"Abundance F18 Light Sample b buffer25"	"Abundance F19 Light Sample c buffer25"	"Abundance F20 Light Sample d buffer25"	"Abundance F21 Heavy Control a buffer29"	"Abundance F22 Heavy Control b buffer29"	"Abundance F23 Heavy Control c buffer29"	"Abundance F24 Heavy Control d buffer29"	"Abundance F21 Light Sample a buffer29"	"Abundance F22 Light Sample b buffer29"	"Abundance F23 Light Sample c buffer29"	"Abundance F24 Light Sample d buffer29"	"Abundance F5 Heavy Control a buffer3"	"Abundance F6 Heavy Control b buffer3"	"Abundance F7 Heavy Control c buffer3"	"Abundance F8 Heavy Control d buffer3"	"Abundance F5 Light Sample a buffer3"	"Abundance F6 Light Sample b buffer3"	"Abundance F7 Light Sample c buffer3"	"Abundance F8 Light Sample d buffer3"	"Modifications"
"-1039523901046503215"	"High"	"IsMasterProtein"	"P42704"	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"	"False"	"69"	"96"	"157.8"	"13071714.9470813"	"2902510115.33235"	"21366408.6380609"	"3221767260.50077"	"123343639.320285"	"3650476887.03777"	"58565750.1905791"	"3282402794.63689"	"22459816.4553759"	"3208284294.3987"	"138336494.829417"	"3892474845.83066"	"12510546.9433594"	"12634556.0449219"	"15892969.8476563"	"13523999.6601563"	"2695064504.66406"	"2959428293.05908"	"3267307256.22852"	"2846686635.17383"	"12665313.3085938"	"19870792.9375"	"22974594.9003906"	"26733928.6484375"	"2423328344.2168"	"3351591458.75977"	"3154934762.35547"	"3290015503.54883"	"143967258.404297"	"204696939.394531"	"105674397.980469"	"85605372.9472656"	"3522995302.67578"	"4053959719.71289"	"3212852266.06055"	"3782571464.87695"	"44247257.734375"	"66584943.1425781"	"51512352.9960938"	"67839777.0898438"	"3332719626.21484"	"3396489885.86133"	"3232845637.98633"	"3174374238.07617"	"22464339.1337891"	"24047025.015625"	"18462039.8935547"	"22455294.6875"	"3315846553.63184"	"3350945095.70117"	"3025470688.17969"	"3104211231.49121"	"136065457.625"	"120673119.917969"	"145721039.107422"	"140645437.392578"	"4059407979.15234"	"3392263644.63281"	"4016317774.81641"	"3772450606.48047"	""
"-6464928878097654854"	"High"	"IsMasterProtein"	"A0A2R8YCH5"	"Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1"	"False"	"79"	"43"	"85.2"	"111841577.801252"	"40997364.726883"	"799572574.13087"	"76769865.0697004"	"857499389.058374"	"113547317.913195"	"433440780.839153"	"83236800.775632"	"574112484.576365"	"75507861.7000941"	"1057369936.52896"	"153087350.347686"	"71915075.3156738"	"93095348.3571777"	"134362658.777344"	"215588158.805664"	"38042064.0209961"	"31564709.9750977"	"44182248.1982422"	"47279003.840332"	"264869528.076172"	"758588439.632568"	"842770951.811401"	"931161776.052368"	"31874452.7285156"	"76359615.3273926"	"77182318.920166"	"83476850.9931641"	"968870613.54834"	"1318386609.58313"	"758930234.804565"	"668508368.228027"	"127136737.441406"	"147736112.855835"	"101410447.245605"	"79875398.0458984"	"324542528.585083"	"532136465.274719"	"378553450.378418"	"496286350.861816"	"79388947.8067627"	"96914459.3913574"	"75500126.8945313"	"87271152.9094238"	"543118633.694824"	"652199697.796875"	"418701513.981934"	"606875044.415527"	"75054254.6982422"	"79941790.7687988"	"61466851.5803223"	"75964210.1762695"	"1130123028.58875"	"868654000.365479"	"1052764075.22919"	"1061995948.55273"	"160207905.207275"	"112541456.496094"	"160811781.692383"	"146283273.638428"	"Met-loss+Acetyl [N-Term]"
"7989790464056543145"	"High"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3"	"False"	"95"	"56"	"62.0"	"16945303.0299359"	"1591545272.42424"	"14342902.7237544"	"1022363447.67158"	"23551720.2137528"	"723777259.878824"	"30931642.5177913"	"1025012156.11036"	"23391262.8337426"	"446831316.261072"	"35319799.9907933"	"950532469.391405"	"23741107.5742188"	"11654125.9052734"	"12094772.4902344"	"30814163.0400391"	"1228841583.56787"	"926798890.486816"	"2287798573.5874"	"2061304229.97363"	"4213507.78515625"	"10445802.4790039"	"24739518.421875"	"19693925.7617188"	"612592619.736328"	"1174705273.03027"	"951639181.70166"	"1098343825.29932"	"28298366.0605469"	"21546182.6699219"	"25743934.9477539"	"13848775.3266602"	"978339466.150391"	"682133641.831543"	"767963181.688477"	"647864661.710938"	"32476158.4765625"	"36176135.1396484"	"29460581.3535156"	"25137386.4780273"	"1360250060.07813"	"926921185.720215"	"1133483554.33008"	"377399719.696289"	"35261180.6303711"	"21224411.2004395"	"20582510.3393555"	"25779333.6074219"	"328145995.137817"	"454021222.791992"	"755198247.03125"	"439755269.508789"	"38696411.3701172"	"32522665.4921875"	"38357503.9902344"	"21675468.2832031"	"1163420287.90137"	"687497942.271484"	"879234647.76123"	"1027611886.84717"	""
"-3973589334991488607"	"High"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"	"False"	"76"	"70"	"66.0"	"11372129504.1452"	"4025735667.48229"	"12069573978.866"	"2365872650.8783"	"12288132202.0756"	"1565566748.44183"	"12036609974.4666"	"2387463634.04316"	"12531546450.7424"	"1228971222.76563"	"13791113227.2023"	"2029174832.66402"	"10136645435.6436"	"10759955404.0396"	"12019132478.049"	"13015451137.5145"	"3387014895.52307"	"1904739218.02368"	"4784905931.72791"	"5297882176.72028"	"9822397485.18945"	"11869940583.0218"	"12272564888.7987"	"12703401867.558"	"1136622009.66711"	"2746063763.50684"	"2227788822.47668"	"2512515254.45361"	"12257301795.5029"	"12319040155.4025"	"11135592489.4089"	"12640996931.3304"	"1840883858.19537"	"1450806810.90314"	"1689404285.53748"	"1309185719.44128"	"12075461473.0276"	"11539072111.8706"	"11997883476.4238"	"12743087551.6487"	"3939710113.33154"	"2568101334.09167"	"2219531810.60693"	"1938328799.67386"	"12199673660.292"	"12872447314.5747"	"11654359484.2136"	"12984646923.009"	"1309873842.37842"	"1153065446.0918"	"1544332573.60059"	"1020695568.52631"	"14728089915.6237"	"11929258054.3514"	"14133000592.8848"	"13457496360.7705"	"2461427610.78265"	"1467140421.50781"	"1885024399.10181"	"2184348650.0647"	""
"-6605193621902288169"	"High"	"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"	"False"	"89"	"55"	"65.4"	"36977496.7592083"	"1296887083.73774"	"28569006.7501528"	"601060890.744889"	"35422191.0403357"	"487396123.506031"	"50225520.6072235"	"1010336122.73542"	"28415794.7438491"	"374375489.459125"	"58761545.9491096"	"544408757.003642"	"34967003.9570313"	"19004409.4394531"	"52066945.2558594"	"39103586.5771484"	"1083910364.70996"	"497849683.574219"	"1551711435.48926"	"1881170533.06641"	"17937526.8583984"	"25247665.2890625"	"47973194.7539063"	"32327272.1396484"	"314183165.224609"	"747477464.53418"	"581260168.758789"	"621536127.539063"	"43066461.6611328"	"29134773.7822266"	"28430949.7084961"	"126320835.939453"	"648978829.553711"	"420495395.93811"	"564940742.522827"	"383411032.717773"	"27413025.0610352"	"64663051.1738281"	"43671655.9111328"	"57762932.6765137"	"1905665227.87988"	"941199684.167969"	"577475285.835449"	"1084551023.62939"	"28177112.215332"	"28656499.1030273"	"44328012.3696289"	"27993112.2451172"	"574044919.171875"	"360608134.090576"	"388668457.13623"	"207624050.963013"	"76235245.1865234"	"45292951.7558594"	"306950536.155273"	"27455928.8076172"	"686118478.278809"	"425403196.367676"	"481119565.327637"	"616023367.290039"	"Met-loss+Acetyl [N-Term]"
"6487188243253825444"	"High"	"IsMasterProtein"	"A0A669KB05"	"Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1"	"False"	"66"	"58"	"102.2"	"1229449.40206939"	"3140251.97941859"	"49159717.1874802"	"5809454.60519514"	"62683579.6820155"	"48514970.4261553"	"8175144.1266539"	"6395655.31762611"	"10241807.4460975"	"2156416.23785186"	"117442710.977975"	"110372469.672669"	"724516.000244141"	"1325638.25024414"	"1140240.05566406"	"2391644.86035156"	"2224588.44140625"	"5966268.84375"	"3606750.671875"	"2734090.4296875"	"17110478.7675781"	"48190498.1835938"	"50148429.359375"	"61232546.3789063"	"4879126.52636719"	"5948762.15063477"	"5673409.35058594"	"8021643.3046875"	"73853089.9101563"	"97980868.2324219"	"53203341.4787598"	"33675580.7363281"	"58443755.3369141"	"75275798.7558594"	"40272948.6132813"	"30377587.859375"	"5814225.80957031"	"11928836.2480469"	"8811754.3125"	"7584526.20458984"	"5341829.50390625"	"9892814.19628906"	"7136076.23632813"	"5732058.56933594"	"10971730.2958984"	"12257740.390625"	"6272043.82910156"	"9560444.609375"	"2225096.92382813"	"2211632.87597656"	"2102578.16357422"	"2074492.953125"	"105378113.166016"	"114544392.832031"	"120721757.109375"	"120414365.302734"	"102522575.683594"	"107736916.414063"	"116274963.519531"	"113072496.105469"	""
"7133544339396982631"	"High"	"IsMasterProtein"	"P05787"	"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7"	"True"	"82"	"46"	"53.7"	"1193419.8219502"	"2947871344.73091"	"13832792.5318105"	"3300429354.91091"	"27309543.1344051"	"3595414364.17097"	"88220157.1249481"	"3404828258.60228"	"3011957.0045582"	"3196768651.34272"	"29147883.2592873"	"3791079474.61276"	"369837.65234375"	"681590.25390625"	"2089599.81933594"	"6153968.96484375"	"2743704800.35742"	"3023609070.31836"	"3420104565.63086"	"2874030756.94922"	"7618907.3671875"	"14018949.4257813"	"13649107.6054688"	"15104320.2207031"	"2489983959.5625"	"3455146601.94531"	"3223837374.83203"	"3378841008.48145"	"26794973.7070313"	"20206367.3066406"	"51828379.5527344"	"27833994.3291016"	"3424665313.85156"	"3866279177.77734"	"3209883365.0957"	"3774676724.70117"	"38558979.5927734"	"86953082.0292969"	"89505695.9628906"	"105194212.808594"	"3401555142.44629"	"3527906427.42383"	"3408104524.28516"	"3297409436.07227"	"1981907.27539063"	"4577350.87304688"	"950349.76953125"	"5028240.46289063"	"3300885984.9873"	"3348631046.48047"	"3031451026.39648"	"3095935411.48828"	"23074241.5292969"	"28184543.1074219"	"30802784.34375"	"30144150.1201172"	"3941659306.87891"	"3298278310.05078"	"3899322610.22656"	"3685841111.25781"	""
"-1474010075378452952"	"High"	"IsMasterProtein"	"P15924"	"Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3"	"False"	"45"	"126"	"331.6"	"8617734.07236062"	"87626985.7809596"	"13973053.5824952"	"70109120.1992599"	"16097015.4730209"	"45364624.9628241"	"26319848.0403481"	"80575347.5381842"	"9632096.76247452"	"30775208.2997829"	"17694736.8586173"	"56692294.2733814"	"8308793.9375"	"6472475.09375"	"8938161.31445313"	"16648713.9228516"	"87585363.3378906"	"63804499.128418"	"93779175.1503906"	"87668628.0039063"	"6326805.94921875"	"13761290.9208984"	"14188074.9082031"	"14953101.5390625"	"34637141.1367188"	"80682017.4619141"	"60921738.0742188"	"84956204.300293"	"15980822.8535156"	"16214052.9003906"	"19734713.2128906"	"15589616.6640625"	"53195701.9570313"	"37835303.4736328"	"58669498.8925781"	"38686381.0854492"	"20134474.484375"	"30959499.3710938"	"45446502.2070313"	"22375503.9628906"	"81849281.8945313"	"79321241.1962891"	"105323353.603516"	"56778198.1679688"	"11237822.7207031"	"7463736.38183594"	"8255806.33789063"	"11677779.7753906"	"29274504.5898438"	"32352842.8291016"	"25227302.0664063"	"34840660.8925781"	"32618705.46875"	"14937440.3359375"	"16133980.5820313"	"19406476.34375"	"52974047.6123047"	"49876301.9360352"	"60671524.5454102"	"74133813.7319336"	""
"-4155367153969888648"	"High"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6"	"False"	"63"	"46"	"58.8"	"22839830.0362425"	"2935097160.76775"	"23233726.9726425"	"1557433188.50845"	"35095463.8570099"	"947039665.678004"	"30444562.7593807"	"1856301433.5054"	"19490799.981714"	"702658219.257325"	"54314347.4931488"	"1114123028.63992"	"19168440.2924805"	"16374267.9697266"	"27214412.2382813"	"57425442.1542969"	"2490281481.1499"	"1065559246.78491"	"3459366103.13184"	"3750194968.16211"	"17602227.8251953"	"27285075.3945313"	"34488778.5957031"	"19783931.7368164"	"781224768.382813"	"1915955719.11865"	"1515705419.64844"	"1600309733.82031"	"46728906.109375"	"30624057.5834961"	"40219738.3537598"	"27148219.359375"	"1216163801.43213"	"775040920.439941"	"1008121637.62549"	"889658643.256592"	"27740230.8833008"	"33412533.7856445"	"25153732.8510742"	"36820355.7792969"	"3264979003.44092"	"1741393922.33612"	"1010538238.68976"	"1978791224.56769"	"13736779.4541016"	"18404003.1804199"	"32460081.3796387"	"20641774.5206299"	"1063970199.43164"	"711304389.675781"	"694117146.268311"	"437539067.602295"	"62723096.0742188"	"47032887.8554688"	"26134993.6484375"	"88474440.9187012"	"1347347941.48926"	"868322140.65332"	"967449988.594238"	"1283032857.07764"	""
"-1697710683789054711"	"High"	"IsMasterProtein"	"P05783"	"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2"	"False"	"87"	"42"	"48.0"	"2564662.18579798"	"88759528.6610529"	"16702392.2986948"	"103371015.655632"	"27440722.1871486"	"142653409.206008"	"78749543.408324"	"228752656.553824"	"5880475.01412158"	"83290249.1918928"	"29763027.1664001"	"143050505.418907"	"1848654.41796875"	"1841505.8515625"	"3557989.0234375"	"6422539.1796875"	"74324772.2929688"	"86880547.6210938"	"90679146.7578125"	"95158081.6445313"	"5371187.70703125"	"15239686.8398438"	"18695800.9960938"	"18305488.2578125"	"65175244.7421875"	"100030396.207031"	"106823198.576172"	"116014558.923828"	"26821772.2226563"	"25253303.9921875"	"53414764.4609375"	"28073955.2890625"	"126797871.013672"	"121439971.075195"	"194039913.905273"	"160491615.477539"	"38737477.5234375"	"85042965.5546875"	"86264104.609375"	"72921852.4609375"	"175026563.164063"	"249015464.160156"	"244603736.998047"	"213928775.261719"	"6398211.57421875"	"6094568.26757813"	"5646239.75"	"5673902.54296875"	"81215823.375"	"90220236.4394531"	"84722113.0175781"	"81882584.8808594"	"28037269.90625"	"30529272.65625"	"31580605.2265625"	"29016013.453125"	"158980575.802734"	"118097628.251953"	"146066428.617188"	"140096853.837891"	""
