"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Abundances Normalized F1 Light Control Hevay_HA"	"Abundances Normalized F2 Light Control Hevay_HA"	"Abundances Normalized F3 Light Control Hevay_HA"	"Abundances Normalized F4 Light Control Hevay_HA"	"Abundances Normalized F5 Light Control Hevay_HA"	"Abundances Normalized F6 Light Control Hevay_HA"	"Abundances Normalized F13 Light Sample Heavy_wt"	"Abundances Normalized F14 Light Sample Heavy_wt"	"Abundances Normalized F15 Light Sample Heavy_wt"	"Abundances Normalized F16 Light Sample Heavy_wt"	"Abundances Normalized F17 Light Sample Heavy_wt"	"Abundances Normalized F18 Light Sample Heavy_wt"	"Abundances Normalized F1 Heavy Sample Hevay_HA"	"Abundances Normalized F2 Heavy Sample Hevay_HA"	"Abundances Normalized F3 Heavy Sample Hevay_HA"	"Abundances Normalized F4 Heavy Sample Hevay_HA"	"Abundances Normalized F5 Heavy Sample Hevay_HA"	"Abundances Normalized F6 Heavy Sample Hevay_HA"	"Abundances Normalized F13 Heavy Sample Heavy_wt"	"Abundances Normalized F14 Heavy Sample Heavy_wt"	"Abundances Normalized F15 Heavy Sample Heavy_wt"	"Abundances Normalized F16 Heavy Sample Heavy_wt"	"Abundances Normalized F17 Heavy Sample Heavy_wt"	"Abundances Normalized F18 Heavy Sample Heavy_wt"	"Abundance F1 Light Control Hevay_HA"	"Abundance F2 Light Control Hevay_HA"	"Abundance F3 Light Control Hevay_HA"	"Abundance F4 Light Control Hevay_HA"	"Abundance F5 Light Control Hevay_HA"	"Abundance F6 Light Control Hevay_HA"	"Abundance F13 Light Sample Heavy_wt"	"Abundance F14 Light Sample Heavy_wt"	"Abundance F15 Light Sample Heavy_wt"	"Abundance F16 Light Sample Heavy_wt"	"Abundance F17 Light Sample Heavy_wt"	"Abundance F18 Light Sample Heavy_wt"	"Abundance F1 Heavy Sample Hevay_HA"	"Abundance F2 Heavy Sample Hevay_HA"	"Abundance F3 Heavy Sample Hevay_HA"	"Abundance F4 Heavy Sample Hevay_HA"	"Abundance F5 Heavy Sample Hevay_HA"	"Abundance F6 Heavy Sample Hevay_HA"	"Abundance F13 Heavy Sample Heavy_wt"	"Abundance F14 Heavy Sample Heavy_wt"	"Abundance F15 Heavy Sample Heavy_wt"	"Abundance F16 Heavy Sample Heavy_wt"	"Abundance F17 Heavy Sample Heavy_wt"	"Abundance F18 Heavy Sample Heavy_wt"	"Found in Sample in S1 F1 Light Control Hevay_HA"	"Found in Sample in S2 F2 Light Control Hevay_HA"	"Found in Sample in S3 F3 Light Control Hevay_HA"	"Found in Sample in S4 F4 Light Control Hevay_HA"	"Found in Sample in S5 F5 Light Control Hevay_HA"	"Found in Sample in S6 F6 Light Control Hevay_HA"	"Found in Sample in S25 F13 Light Sample Heavy_wt"	"Found in Sample in S26 F14 Light Sample Heavy_wt"	"Found in Sample in S27 F15 Light Sample Heavy_wt"	"Found in Sample in S28 F16 Light Sample Heavy_wt"	"Found in Sample in S29 F17 Light Sample Heavy_wt"	"Found in Sample in S30 F18 Light Sample Heavy_wt"	"Found in Sample in S7 F1 Heavy Sample Hevay_HA"	"Found in Sample in S8 F2 Heavy Sample Hevay_HA"	"Found in Sample in S9 F3 Heavy Sample Hevay_HA"	"Found in Sample in S10 F4 Heavy Sample Hevay_HA"	"Found in Sample in S11 F5 Heavy Sample Hevay_HA"	"Found in Sample in S12 F6 Heavy Sample Hevay_HA"	"Found in Sample in S31 F13 Heavy Sample Heavy_wt"	"Found in Sample in S32 F14 Heavy Sample Heavy_wt"	"Found in Sample in S33 F15 Heavy Sample Heavy_wt"	"Found in Sample in S34 F16 Heavy Sample Heavy_wt"	"Found in Sample in S35 F17 Heavy Sample Heavy_wt"	"Found in Sample in S36 F18 Heavy Sample Heavy_wt"	"Number of Protein Groups"	"Modifications"
"2962281166201317424"	"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"False"	"1651.901"	"52"	"102"	"2433"	"87"	"1960"	"226.4"	"5.60"	"8086.21"	"102"	"311308269.97391"	"333183976.887363"	"317737927.593951"	"313521735.429853"	"314783441.587851"	"332086860.02172"	"287942236.838762"	"289988494.78942"	"301956673.625489"	"294698959.165517"	"284887997.773494"	"295501620.178985"	"346753920.212747"	"348255658.954084"	"371229736.605055"	"357218167.744315"	"361315017.141494"	"358000444.551278"	"417167161.141243"	"412608172.601013"	"427914175.692975"	"417801815.153864"	"406854317.604965"	"418023251.722884"	"177140837.486328"	"169193178.519531"	"158328970.641479"	"151552277.810059"	"191540597.485352"	"146410753.881836"	"196319305.003906"	"203300187.312988"	"230351962.526855"	"239142778.638428"	"230034516.705566"	"238920513.742432"	"181077778.375"	"160502535.924805"	"164385853.876221"	"149963460.818848"	"201751884.337891"	"143195900.786133"	"330945165.367188"	"335603553.691406"	"382518604.128906"	"398422338.126953"	"384747289.242188"	"399445654.787109"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-7065009906831580898"	"False"	"High"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5"	"0.000"	"False"	"1642.189"	"75"	"64"	"5185"	"41"	"732"	"84.6"	"5.02"	"14348.36"	"64"	"1586845474.68354"	"1578360970.75048"	"1553876835.10874"	"1514330347.70226"	"1519666344.83871"	"1531089425.05227"	"1716340389.81886"	"1678339352.30789"	"1670332944.63548"	"1656070879.38412"	"1603223677.48758"	"1637553754.98909"	"2148280077.65341"	"2129479678.59888"	"2098573609.94676"	"2040844780.94423"	"2053762983.5531"	"2079818243.99839"	"1839216501.19638"	"1797498507.63213"	"1779525141.24058"	"1791466169.87387"	"1692380515.86487"	"1739779104.78825"	"959879706.281372"	"823770177.193787"	"789184514.512573"	"747972772.172607"	"962437495.07251"	"698161827.28772"	"1230232186.07861"	"1237852033.45239"	"1337442260.0188"	"1423196949.50757"	"1353448761.74976"	"1380090332.49774"	"1189135461.53052"	"1020788263.41479"	"979970926.030518"	"927212043.737061"	"1175844567.86011"	"871235924.254883"	"1472853366.20154"	"1516074142.51563"	"1652649864.43042"	"1773566279.55066"	"1656454729.40747"	"1695327931.04224"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"-4567547795878987385"	"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"0.000"	"False"	"1624.209"	"59"	"100"	"2339"	"97"	"2647"	"280.6"	"6.06"	"7476.36"	"100"	"354097663.466863"	"354391063.277301"	"344257832.64755"	"334888615.687538"	"340872963.349156"	"326280887.213931"	"364639091.398492"	"371481923.495385"	"358914663.631546"	"347045693.112472"	"352023950.179905"	"354733857.912657"	"364308823.961797"	"360497660.742857"	"368076083.98017"	"353198388.099954"	"359789609.856645"	"345917677.82265"	"406805436.889807"	"415312547.080767"	"412076730.022592"	"395000057.872125"	"394179017.254504"	"401070886.99133"	"208484215.648804"	"179493693.138672"	"170747805.984863"	"153153371.9375"	"199776076.546875"	"139242239.476563"	"245805599.17334"	"259332606.365723"	"279057050.523438"	"295522409.0625"	"274893467.15625"	"283593628.679688"	"195111523.90625"	"167978491.935547"	"163013052.232422"	"152439822"	"198934963.96875"	"137206728.375"	"328976780.875"	"345041384.21875"	"373792368.375"	"390822519.71875"	"377022117.5"	"385099449.1875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"5927523368410573672"	"False"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	"0.000"	"False"	"1555.014"	"43"	"142"	"2667"	"142"	"4128"	"468.8"	"7.12"	"7073.66"	"142"	"335685343.283434"	"327068556.567268"	"334712863.677674"	"313663163.130928"	"315644890.890372"	"337100962.142297"	"297641147.554322"	"283173984.599458"	"317093639.913291"	"305031382.500367"	"303817030.580832"	"314805705.105111"	"305402925.663511"	"303267568.940187"	"308647528.32338"	"288913118.387173"	"304461981.359803"	"304122365.577158"	"295294852.849296"	"289805093.179674"	"305726661.573375"	"303179194.342747"	"305009415.017436"	"305779218.488864"	"197494708.035156"	"163292214.196777"	"161204893.521484"	"146128272.21875"	"197079073.738281"	"145952602.207031"	"206143774.134277"	"199737494.27832"	"249951500.935059"	"254147644.970703"	"246302231.332031"	"255402897.6875"	"158501869.882813"	"135959614.8125"	"139909388.216797"	"123641708.910156"	"161007689.838867"	"119875042.452148"	"230265285.910156"	"229960418.75"	"265341498.724121"	"284687064.395508"	"275475463.238281"	"275985517.313477"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6252367434931231115"	"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	"0.000"	"False"	"1527.472"	"58"	"101"	"2968"	"100"	"2511"	"273.3"	"6.44"	"9361.30"	"101"	"302593140.03507"	"295350065.405093"	"295262334.523362"	"292355079.108311"	"306079290.187891"	"293205636.078181"	"320906932.753178"	"319332683.93118"	"327971034.720695"	"325459396.488963"	"318298416.547415"	"318857909.072903"	"444057046.861829"	"420906381.18352"	"426687459.285079"	"416301588.573146"	"435662097.997398"	"428922130.50829"	"374201314.020741"	"372543417.960889"	"398101958.724013"	"380319566.880987"	"375583255.724998"	"375804590.929403"	"173452155.375"	"145106636.3125"	"139657550.75"	"134653158.500977"	"179015611.703125"	"123520891.176758"	"215993365.513672"	"227539606.492188"	"255686832.300781"	"267672840.904297"	"254678460.082031"	"260971687.699219"	"237213587.304688"	"196864939.996094"	"193058349.011719"	"183343706.953125"	"244980075.835938"	"174390163.625"	"308900788.572266"	"316156174.005859"	"370030790.755859"	"372695527.105469"	"366948275.398438"	"369040076.55957"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"5619484675981056092"	"False"	"High"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	"0.000"	"False"	"1520.995"	"83"	"53"	"7417"	"53"	"573"	"61.0"	"5.87"	"19606.87"	"53"	"1214355159.6281"	"1231886100.93883"	"1209829599.60045"	"1219037801.30551"	"1230634990.1481"	"1176182393.87582"	"1579666121.14233"	"1584096628.91352"	"1559570426.66283"	"1595979620.99191"	"1547914828.94093"	"1560872611.96312"	"1297359822.99881"	"1297546360.4105"	"1287859808.68755"	"1306721751.6922"	"1307833187.6646"	"1249519152.59758"	"1125021065.41775"	"1126164654.11007"	"1110892566.17514"	"1133388858.91712"	"1106256043.77658"	"1114447415.00557"	"733851419.019287"	"641244028.435303"	"615477783.552734"	"600880365.855957"	"777829980.328125"	"535199151.078308"	"1130949134.9458"	"1167141425.14941"	"1248661858.65527"	"1366287853.67944"	"1302184202.19983"	"1320049564.79736"	"719357827.940918"	"621635756.552246"	"599628328.452148"	"593484601.862549"	"745401639.310547"	"523974659.889648"	"928122940.454834"	"954175521.321167"	"1025948213.40302"	"1119757741.79675"	"1075630486.36938"	"1087629410.6604"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2220837361715177214"	"False"	"High"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4"	"0.000"	"False"	"1520.253"	"75"	"63"	"5243"	"37"	"724"	"83.2"	"5.03"	"12728.78"	"63"	"690964305.131927"	"690101919.120224"	"697390508.200742"	"697493412.252341"	"648433501.819191"	"688621071.319585"	"629120598.966221"	"621365478.631073"	"622620384.433223"	"631660569.739012"	"595958754.215763"	"617661530.387765"	"786325820.172796"	"788242438.212326"	"804285153.659372"	"774445162.81758"	"748298783.443963"	"789549716.600427"	"744425696.295481"	"727314122.273826"	"731267750.023089"	"739446587.280219"	"698874048.772262"	"715052555.718801"	"417390024.422363"	"360272145.77002"	"354283329.989136"	"344782165.61377"	"410969351.615234"	"313637297.988525"	"449256413.892944"	"454540087.687927"	"499247506.352905"	"541153438.212036"	"500396329.501495"	"521137540.568481"	"436699647.198669"	"376509967.174194"	"372333316.491089"	"350387588.730652"	"425334972.565674"	"329390588.398193"	"614183106.385864"	"616218502.081421"	"664185055.244873"	"719532680.962524"	"681620820.094971"	"688098551.006592"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"-1039523901046503215"	"False"	"High"	"IsMasterProtein"	"P42704"	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"	"0.000"	"False"	"1335.523"	"69"	"76"	"2470"	"76"	"1394"	"157.8"	"6.13"	"7117.62"	"76"	"277483656.777736"	"260696126.287825"	"252384096.502879"	"249146801.576367"	"249776975.251057"	"266356387.022107"	"321462952.9416"	"307133373.769342"	"329022687.063621"	"328954633.252768"	"320190865.113666"	"331304076.894841"	"233224098.630608"	"221825313.968627"	"211938205.753886"	"215490661.311856"	"214259189.360951"	"228163688.725087"	"247393095.314067"	"242172799.162658"	"258884045.240163"	"260687142.619694"	"251021859.326337"	"259431958.610417"	"162764356.78125"	"131823026.988281"	"115408055.152344"	"108098702.34375"	"144174943.238281"	"112012264.910156"	"211256325.0625"	"208944129.038574"	"245517929.886719"	"263448771.165527"	"249883943.367188"	"268632956.5354"	"121451592.206055"	"102412566.098145"	"94118348.640625"	"90081709.2421875"	"118279088.645752"	"92307328.2832031"	"199946129.240234"	"195944683.199219"	"234626321.832031"	"253161078.099609"	"237640103.662598"	"244710715.851563"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"6980118088250601043"	"False"	"High"	"IsMasterProtein"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"False"	"1273.628"	"95"	"33"	"10883"	"1"	"375"	"41.8"	"5.48"	"25407.43"	"33"	"83265527.5143812"	"70049810.9646983"	"63720181.7836659"	"69420958.4468586"	"78051015.8813778"	"79510689.0277164"	"63321915.4631317"	"54971676.7452579"	"61915469.6367278"	"62085931.4605496"	"59535174.8610307"	"57850376.5607681"	"96101318.0977101"	"79822072.900358"	"73527518.1175591"	"78373574.924025"	"90498266.8255353"	"89734410.2749981"	"72252572.9752651"	"64162706.3987615"	"73053600.4747963"	"73012636.4960938"	"69755736.3507899"	"68538355.0691181"	"50384818.40625"	"36550444.7109375"	"32424316.7285156"	"34294311.1054688"	"49467794.7695313"	"36280541.2636719"	"45466291.8203125"	"40613669.09375"	"49865892.4570313"	"53533246.8144531"	"50331220.1328125"	"49207818.8085938"	"53370778.4375"	"38363424.625"	"34320914.0625"	"35582450.4296875"	"51900013.859375"	"37691047.171875"	"59866261.0742188"	"54627166.8203125"	"68149844.6328125"	"73012636.4960938"	"68449065.421875"	"67607166.5546875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]; Acetyl [N-Term]"
"-174490317750568225"	"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"True"	"1240.175"	"95"	"33"	"10823"	"1"	"375"	"41.7"	"5.48"	"25294.06"	"33"	"3555225128.80728"	"3636533600.02897"	"3638884497.98433"	"3654743822.18515"	"3614878135.69993"	"3681477134.47857"	"3430219844.10216"	"3319372366.0321"	"3435393371.71225"	"3316695339.88765"	"3238754643.30908"	"3314198217.49647"	"3292296074.35299"	"3375605968.16249"	"3362668010.65265"	"3362823744.77085"	"3341671408.69265"	"3422838327.32316"	"3937445638.87169"	"3810788913.75272"	"3873571448.33527"	"3758914267.21494"	"3657495054.93865"	"3780857246.55088"	"2149943090.65207"	"1895830817.57611"	"1850066101.68231"	"1806598410.30966"	"2291021525.61423"	"1677457027.80078"	"2455772560.09526"	"2443927043.3103"	"2757596893.59619"	"2848953912.44989"	"2726377555.80515"	"2807443071.86584"	"1824567593.98737"	"1620390712.26013"	"1563687111.24777"	"1528579147.43454"	"1916110879.36603"	"1432966713.30902"	"3255398077.76257"	"3236363139.01306"	"3602634462.7605"	"3752065271.31061"	"3580699174.98862"	"3716053707.11649"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
